"username","location","messages"
"drumstick diva","Out to pasture","131,835"
"Granny Hatchet","madison Indiana","128,377"
"Miss Lydia","Mountains of Western N.C.","113,190"
"sourland","New Jersey","101,801"
"Kiki","Houston, TX","96,273"
"casportpony",NA,"95,938"
"BantamFan4Life","Washington","84,500"
"aart","SW Michigan","81,191"
"N F C","Wyoming","79,687"
"speckledhen","Blue Ridge Mtns. of North Georgia","78,788"
"CapricornFarm","Southern Virginia","66,911"
"ronott1","Woodland, CA","62,595"
"chickens really","The Funny Farm....Alberta, Canada","62,519"
"twisted-acres-farm","Dickinson,   North Dakota","60,696"
"BantyChooks",NA,"57,967"
"Sally Sunshine",NA,"57,539"
"Eggcessive","southern Ohio","53,848"
"KDOGG331","Massachusetts","51,718"
"miss heny","Louisville, Mississippi","51,129"
"Pork Pie",NA,"51,127"
"WVduckchick","West Virginia","47,934"
"penny1960","Mossyrock, WA","43,588"
"Kevin565",NA,"43,519"
"BullChick","Coffee shop","43,152"
"TwoCrows","New Mexico, USA","42,191"
"oldhenlikesdogs","Wisconsin","41,109"
"Happy Chooks","Northern CA","40,415"
"debilorrah","The Carpal Tunnel Rehab Center","39,693"
"sumi",NA,"39,155"
"Nifty-Chicken","California - SF East Bay","38,890"
"rjohns39","Smith County, TN","37,387"
"Kelsie2290","Ohio","36,683"
"Cynthia12","Utah","36,673"
"Chic CAN","One of the Large states U.S.A","36,153"
"Wishing4Wings","Sonoma County, CA","35,583"
"Ravynscroft","Middle Tennessee","34,686"
"DuckLady","NE Washington State","34,526"
"duluthralphie","Orrock township, Minnesota","34,370"
"Judy","South Georgia","34,024"
"Mr MKK FARMS",NA,"33,764"
"kwhites634","Right here; north-central MD","33,071"
"Chaos18","Slowly Losing it......","31,954"
"donrae","Southern Oregon","31,453"
"007Sean","South Central Texas","31,306"
"ChickenCanoe","St. Louis, MO","31,095"
"Frindizzle","Washington State","30,916"
"Alaskan","Kenai Peninsula, Alaska","30,904"
"Wyorp Rock","Southern N.C. Mountains","30,589"
"Mahonri","North Phoenix","30,365"
"theoldchick",NA,"30,157"
"Wintent",".....","29,841"
"moriah6299",NA,"29,728"
"OwlLover",NA,"29,230"
"gritsar","SW Arkansas","28,906"
"Mountain Peeps","Colorado","28,450"
"perchie.girl","San Diego county High Desert","28,414"
"ChickieBooBoo","Canada","28,316"
"lazy gardener","CENTRAL MAINE zone 4B","27,615"
"Fields Mountain Farm","Dunlap TN","26,888"
"dawg53","Glen St Mary, Florida","26,583"
"redsoxs","North Central Kansas","25,643"
"Michael OShay","Montana","25,581"
"Wynette","Michigan","25,574"
"centrarchid","Holts Summit, Missouri","25,524"
"Ridgerunner","Southeast Louisiana","25,397"
"sonew123","onchiota NY","25,016"
"DuckLover2399","Oklahoma","24,597"
"kathyinmo","(SW MO) Nevada, Missouri","24,538"
"MissPrissy","Forks, Virginia","24,434"
"DwayneNLiz","NH","24,341"
"BantamLover21",NA,"23,660"
"crazyaboutchickens","Nowhere/Everywhere","23,655"
"Bluebee","Cali","23,652"
"dan26552","Waiting for epicness.","23,371"
"LittleLakePhil","Little lake Michigan","23,240"
"Amiga","Southern New England","23,213"
"junebuggena","Long Beach, WA","23,102"
"campingshaws","Southwest Louisiana","23,034"
"Beekissed","This world is not my home.","22,974"
"cmom","Florida","22,969"
"MsChickenMomma","Michigan","22,933"
"HuffleClaw",NA,"22,681"
"Yorkshire Coop","Yorkshire, UK","22,510"
"Gerbil",NA,"22,082"
"kuntrygirl","Opelousas, Louisiana","22,031"
"chickenboy190","Ohio","21,985"
"EweSheep","Land of Lincoln","21,908"
"silkiechicken","Everett WA/Corvallis OR","21,494"
"1muttsfan","Upper Peninsula Michigan","21,311"
"Brahma Chicken5000","Central New Jersey","21,260"
"chickendiva25","The bench of my Piano","21,078"
"DobieLover","NY Southern Tier","20,784"
"duckluv","Ohio","20,767"
"Ol Grey Mare","Oregon","20,622"
"Wyandottes7",NA,"20,586"
"Folly's place","southern Michigan","20,356"
"weimarmama","Alabama","20,239"
"lindalouly","The great northwest!!!!!! Washington state","20,035"
"OnceInALifeTime","Oklahoma","19,998"
"Pyxis","Vermont","19,872"
"Chick-N-Fun","Upstate, NY","16,699"
"shawluvsbirds","Missouri","18,653"
"Shadrach","Catalonia, Spain","14,002"
"igorsMistress",NA,"17,758"
"FortCluck","Central Virginia","19,794"
"honanbm","Western Washington","5,731"
"room onthebroom","100 Acre Wood Pooh Corner, USA","10,116"
"21hens-incharge","Northern Colorado","19,411"
"R2elk","Natrona County, Wyoming","18,717"
"BY Bob","Hershey, PA","9,756"
"Chickassan","Greenville S.C, formerly Noneya U.S.A","13,761"
"Kessel23","Wisconsin","2,414"
"HeavensHens88","Almost Home","963"
"BlueBaby","Maricopa, AZ. (near Phoenix)","13,003"
"ladybugchickenfarms","Inside a book","537"
"Farmer Connie","Florida Peninsula","17,712"
"Wickedchicken6","Southwestern MB, Canada","10,663"
"Rose Quartz","East Hants N.S. Canada","2,347"
"Amer","Wisconsin","4,053"
"Ribh","Island, Brisbane, Queensland, Australia","7,760"
"ValerieJ","Washington State","9,634"
"Fanci Feathers Marans","Missouri","1,717"
"Isaac 0","Iowa","16,230"
"MrsMistyReal","Mississippi","16,325"
"bruceha2000","NW Vermont","14,458"
"Abriana","Midgard","4,776"
