"username","location","messages"
"robin416","SE Alabama","13,669"
"Maryellen","Northern New Jersey","4,236"
"Energyvet",NA,"4,193"
"chickenqueen","Blanchester Ohio USA","3,944"
"dawg53","Glen St Mary, Florida","3,440"
"7chicks","Upper Michigan, USA","3,192"
"Apyl",NA,"3,157"
"nannypattyrn","Ardmore, Okla.","3,002"
"rob","cardiff","2,300"
"Nm156",NA,"1,937"
"Fiere","Nova Scotia, Canada","1,618"
"fuzziebutt","NW Alabama","1,588"
"ChickenAdmin",NA,"1,558"
"casportpony",NA,"1,514"
"Jim","Dickinson, tx","1,492"
"piglett","wolfeboro,NH","1,466"
"Sundancers","Virginia","1,425"
"Sylie","SE Iowa","1,365"
"LittleWings","Houston, Texas","1,329"
"robopetz","Hawaii","1,157"
"Wigwam7","Seneca, South Carolina","343"
"dmkrieg",NA,"117"
"Wilbur's Mom",NA,"314"
"junebugs",NA,"85"
"squirrelhunter","Portland,In.","245"
"ChrisV",NA,"7"
"Kendra",NA,"12"
"won023",NA,"32"
"ClaireC",NA,"11"
"Steinwand","Franklin, GA","609"
"DuckRunner","Spain","463"
"Jewels",NA,"5"
"michaelajaneeliz",NA,"52"
"onehen",NA,"19"
"clucklucky",NA,"29"
"GPS1504",NA,"0"
"broussey",NA,"0"
"chickens really",NA,"281"
"Soon2Be",NA,"118"
"Scooby",NA,"111"
"boskelli1571","Finger Lakes, NY","419"
"WorldsOldestChicken",NA,"56"
"BroodyChicken 500","Central New Jersey","60"
"TomC","Auxvasse, MO","328"
"thelistgoeson",NA,"28"
"444lover",NA,"658"
"havasu","So Cal /Lake Havasu","984"
"powderhogg01",NA,"1,006"
"WeeLittleChicken",NA,"1,118"
"killingart",NA,"0"
"Whittni","UT","6"
"blucees",NA,"0"
"OthalaAcres","Troy, NH","2"
"chickenlover118",NA,"19"
"realsis",NA,"468"
"Kellence",NA,"94"
"jmc0319",NA,"132"
"LindaR",NA,"31"
"ronbo",NA,"7"
"BrahmaMom",NA,"4"
"omishsis",NA,"2"
"BrandonM",NA,"113"
"ChrisSmithChick",NA,"9"
"donkeykongbeard",NA,"5"
"shantiquarian","White Plains, KY","25"
"MuddyHillFarm","Maryland","31"
"DansChickens","Small town Shenandoah va","141"
"kmrussell","rural Wisconsin","3"
"earl","Fort Wayne In.","35"
"DeplorableChicken","Mississippi","9"
"Grace O'Donnell",NA,"20"
"Mrs. Palmer","Northwest Iowa","1"
"chickenstricken","North Carolina","10"
"GaChicken_Chick","Northeast Georgia","98"
"janamsingh",NA,"139"
"Friendlyflock",NA,"7"
"4 toes",NA,"14"
"Jimmy bar360","Kefalonia Greece","30"
"Gertie",NA,"6"
"Red Rooster Egg Ranch",NA,"0"
"Don England",NA,"11"
"Poultry Judge","Northeast Ohio, United States","83"
"LRavis",NA,"10"
"Sarah van Rij",NA,"1"
"the-barn-rat",NA,"1"
"Thomas Lippert","03051","54"
"cpeppers",NA,"0"
"Chicken Momma",NA,"3"
"Salsabil",NA,"10"
"Linda Hall",NA,"0"
"P.Brothers",NA,"2"
"Frank Alvarez","DeLeon Springs FElorida","16"
"JediPat","Idaho","102"
"uvengwa",NA,"0"
"surban","Madison, WI","4"
"Keith",NA,"320"
"bkwilmott",NA,"8"
