"id","status","address","address_google","location_type","pnt"
1,"OK","East-West Hwy & Jones Mill Rd
Chevy Chase, MD 20815
Roadside stand. Street-only parking (on market side of road) See also Massachusetts Ave. Roadside Stand, Bethesda, MD & Tilden Middle School Stand, Rockville, MD","E W Hwy, Maryland, USA","GEOMETRIC_CENTER",c(-77.059979, 38.9923868)
1,"OK","11904 Old Marlboro Pike
Upper Marlboro, MD 20772","11904 Old Marlboro Pike, Upper Marlboro, MD 20772, USA","ROOFTOP",c(-76.8000206, 38.8174652)
1,"OK","18001 Horsehead Road
Brandywine, MD 20613","18001 Horsehead Rd, Brandywine, MD 20613, USA","ROOFTOP",c(-76.771951, 38.643395)
1,"OK","5550 Stuckey Road
Pisgah, MD 20640","5550 Stuckey Rd, Pisgah, MD 20640, USA","ROOFTOP",c(-77.119757, 38.543296)
1,"OK","14790 Bushy Park Road
Woodbine, MD 21797","14790 Bushy Park Rd, Woodbine, MD 21797, USA","ROOFTOP",c(-77.0306324, 39.3215274)
1,"OK","2225 Park Mills Road
Adamstown, MD 21710
Visitors to the farm, please contact Ilene at 301-461-6575 to set up a visit. This is our farm lane address, not a mailing address.","2225 Park Mills Rd, Adamstown, MD 21710, USA","ROOFTOP",c(-77.4147392, 39.2933667)
1,"OK","6003 Elmer Derr Road
Frederick, MD 21703","6003 Elmer Derr Rd, Frederick, MD 21703, USA","ROOFTOP",c(-77.459994, 39.375436)
1,"OK","2414 Patapsco Rd
Finksburg, MD 21048
From 140 North, turn Right onto Bethal Road, then Right onto Patapsco Rd. Farm is on the left. If getting eggs, cooler is at the end of the lane, just pull into our driveway to park. If picking up products, pull to the top of the lane and park beside other cars.","2414 Patapsco Rd, Finksburg, MD 21048, USA","ROOFTOP",c(-76.9097649, 39.543522)
1,"OK","700 Agriculture Dr.
Westminster, MD 21157
","706 Agricultural Center Dr, Westminster, MD 21157, USA","ROOFTOP",c(-76.999566, 39.557925)
1,"OK","5814 Broad Run Road (Maryland Rt. 383)
Jefferson, MD 21755
","5814 Broad Run Rd, Jefferson, MD 21755, USA","ROOFTOP",c(-77.59277, 39.389087)
1,"OK","PO Box 9775
Baldwin, MD 21013","Baldwin, MD 21013, USA","APPROXIMATE",c(-76.470242, 39.494829)
1,"OK","23629 Land's End Road
Chestertown, MD 21620","23629 Lands End Rd, Chestertown, MD 21620, USA","RANGE_INTERPOLATED",c(-76.1529856, 39.1161154)
1,"OK","10330 Oak Hill Road
Keymar, MD 21757","10330 Oak Hill Rd, Keymar, MD 21757, USA","ROOFTOP",c(-77.306312, 39.559331)
1,"OK","1015 Baugher Road
Westminster, MD 21158
Located 3 mile West of Westminster on MD 140 & Baugher Road. Turn right into parking lot at AppleMan sign.","1015 Baugher Rd, Westminster, MD 21158, USA","ROOFTOP",c(-77.0498014, 39.6020988)
1,"OK","16701 Yeoho Rd
Sparks Glencoe, MD 21152","16701 Yeoho Rd, Sparks Glencoe, MD 21152, USA","ROOFTOP",c(-76.736872, 39.5808261)
1,"OK","2439 Hughes Shop Rd
Westminster, MD 21158","2439 Hughes Shop Rd, Westminster, MD 21158, USA","ROOFTOP",c(-77.032648, 39.641511)
1,"OK","Highland School Road
Myersville, MD 21773
At this time we do not offer on-farm sales. Thinking of visiting? The farm is home, so contact us to schedule a time to drop by.","Highland School Rd, Myersville, MD 21773, USA","GEOMETRIC_CENTER",c(-77.5205285, 39.527637)
1,"OK","21130 Roy's Ln
Boonsboro, MD 21713","21130 Roys Ln, Boonsboro, MD 21713, USA","ROOFTOP",c(-77.629323, 39.473058)
1,"OK","Solomon Lane
Westminster, MD 21157
Blue and Grey metal barn on your right","Westminster, MD, USA","APPROXIMATE",c(-76.9958149, 39.5753791)
1,"OK","1700 Walker Road (Porch)
Freeland, MD 21053
Pick up location for orders, Porch: 1700 Walker Road, Freeland, MD Farm Stand: Thursdays only May - September Corner of Middletown & Walker Rds. Overlea Farmers Market every other Saturday starting in May","1700 Walker Rd, Freeland, MD 21053, USA","ROOFTOP",c(-76.7046298, 39.6657331)
1,"OK","2 South Bond Street
Bel Air, MD 21014
Located at Mary Risteau Courthouse parking lot. Additonal parking available on Thomas Street, Hays Street and Bond Street.","2 S Bond St, Bel Air, MD 21014, USA","ROOFTOP",c(-76.3508398, 39.5353803)
1,"OK","48322 Far Cry Road
Lexington Park, MD 20653
CSA members should park in front of the greenhouses. Sorry, but only our CSA members and co-workers are allowed at Even' Star Organic Farm. The farm itself is not open to the general public. Joining our CSA is easy.","48322 Far Cry Rd, Lexington Park, MD 20653, USA","ROOFTOP",c(-76.3987474, 38.2314238)
1,"OK","19718 Kirkwood Shop Road
White Hall, MD 21161","19718 Kirkwood Shop Rd, White Hall, MD 21161, USA","ROOFTOP",c(-76.5788604, 39.6680812)
1,"OK","4533 Harford Creamery Rd
White Hall, MD 21161","4533 Harford Creamery Rd, White Hall, MD 21161, USA","ROOFTOP",c(-76.5129229, 39.6530344)
1,"OK","2115 Waverly Drive
Bel Air, MD 21015
Across from Church of the Nazarene on Route One.","2115 Waverly Dr, Bel Air, MD 21015, USA","ROOFTOP",c(-76.3243655, 39.5915592)
1,"OK","39 Gammy Drive
Elkton, MD 21921","39 Gammy Dr, Elkton, MD 21921, USA","ROOFTOP",c(-75.925662, 39.538643)
1,"OK","4913 Crittenden Street
Edmonston, MD 20781","4913 Crittenden St, Hyattsville, MD 20781, USA","ROOFTOP",c(-76.935294, 38.947598)
1,"OK","Crossroads Farmers Market
1101 University Blvd. East
Takoma Park, MD 20912
Pick-up sites throughout Takoma Park, MD and Takoma, DC.","Anne St. @, University Blvd E, Takoma Park, MD 20912, USA","GEOMETRIC_CENTER",c(-76.9902122, 38.9906125)
1,"OK","Lancaster Road
Takoma Park, MD 20912
We have two locations in Phenix, Virginia and Takoma Park, MD.","Lancaster Rd, Takoma Park, MD 20912, USA","GEOMETRIC_CENTER",c(-76.9905653, 38.9841703)
1,"OK","Maryland Avenue
Bethesda, MD 20816","Maryland Ave, Bethesda, MD 20816, USA","GEOMETRIC_CENTER",c(-77.1210422, 38.9446992)
1,"OK","10301 Baltimore Avenue
Beltsville, MD 20705","10301 Baltimore Ave, Beltsville, MD 20705, USA","ROOFTOP",c(-76.9217516, 39.0227751)
1,"OK","11307 Elkin Street
Wheaton, MD 20902","11307 Elkin St, Silver Spring, MD 20902, USA","ROOFTOP",c(-77.0501724, 39.0406177)
1,"OK","2612 Ritchie Marlboro Rd
Upper Marlboro, MD 20774","2612 Ritchie Marlboro Rd, Upper Marlboro, MD 20774, USA","ROOFTOP",c(-76.8161197, 38.8536405)
