"id","status","address","address_google","location_type","pnt"
1,"OK","2817 Mechanicsville Turnpike
Richmond, VA 23223","2817 Mechanicsville Turnpike, Richmond, VA 23223, USA","ROOFTOP",c(-77.4043319, 37.5639156)
1,"OK","1218 Elmos Road
Bedford, VA 24523","1218 Elmos Rd, Bedford, VA 24523, USA","ROOFTOP",c(-79.6252315, 37.3976219)
1,"OK","186 Foothills Trl, Amherst, VA 24521
Amherst, VA 24521
","186 Foothills Trail, Amherst, VA 24521, USA","ROOFTOP",c(-79.0905578, 37.6927207)
1,"OK","963 Eanes Rd. NE
Check, VA 24072","963 Eanes Rd NE, Check, VA 24072, USA","ROOFTOP",c(-80.213628, 37.0129828)
1,"OK","3174 Thompson Store Road
Vernon Hill
Halifax, VA 24597","3174 Thompson Store Rd, Vernon Hill, VA 24597, USA","ROOFTOP",c(-79.07894, 36.7858129)
1,"OK","3044 Paynes Pond Road
Scottsville, VA 24590","3044 Paynes Pond Rd, Scottsville, VA 24590, USA","ROOFTOP",c(-78.4714413, 37.7564373)
1,"OK","Farmland
Harrisonburg, VA 22801","1962 Evelyn Byrd Ave, Harrisonburg, VA 22801, USA","ROOFTOP",c(-78.8470587, 38.4282192)
1,"OK","10943 Wills Creek Rd.
Linville, VA 22834","10943 Wills Creek Rd, Linville, VA 22834, USA","ROOFTOP",c(-78.90089, 38.567334)
1,"OK","6165 River Road West
Columbia, VA 23038
","6165 River Rd W, Columbia, VA 23038, USA","ROOFTOP",c(-78.122432, 37.7419)
1,"OK","2246 Lindsay Lane
Criglersville, VA 22727","2246 Lindsay Ln, Madison, VA 22727, USA","ROOFTOP",c(-78.3325655, 38.4436528)
1,"OK","6251S F.T.Valley Rd
Etlan, VA 22719","6251 S F T Valley Rd, Etlan, VA 22719, USA","ROOFTOP",c(-78.2505574, 38.5352039)
1,"OK","4010 Swover Creek Rd
Edinburg, VA 22824-3728","4010 Swover Creek Rd, Edinburg, VA 22824, USA","ROOFTOP",c(-78.6520136, 38.8417616)
1,"OK","68 Broad Street Road
Manakin-Sabot, VA 23103","68 Broadstreet Rd, Manakin-Sabot, VA 23103, USA","ROOFTOP",c(-77.6853028, 37.6706943)
1,"OK","2218 Fenton St.
Richmond, VA 23231","2218 Fenton St, Richmond, VA 23231, USA","ROOFTOP",c(-77.3919007, 37.5237901)
1,"OK","P.O. Box 177
Midland, VA 22728","5473 Midland Rd, Midland, VA 22728, USA","ROOFTOP",c(-77.7245141, 38.5982407)
1,"OK","105 Bishop Meade Road
Millwood, VA 22646","105 Bishop Meade Rd, Boyce, VA 22620, USA","ROOFTOP",c(-78.0413979, 39.0612589)
1,"OK","20704 St. Louis Rd
Purcellville, VA 20132","20704 St Louis Rd, Purcellville, VA 20132, USA","ROOFTOP",c(-77.766283, 39.044827)
1,"OK","311 Swimley Rd.
Berryville, VA 22611","311 Swimley Rd, Berryville, VA 22611, USA","ROOFTOP",c(-78.0114822, 39.2391617)
1,"OK","3747 Custis Millpond Rd
West Point, VA 23181
Farm Store hours - Saturdays from 2-5 pm.","3747 Custis Millpond Rd, West Point, VA 23181, USA","ROOFTOP",c(-76.894698, 37.6247339)
1,"OK","41469 Springvalley Lane
Leesburg, VA 20175
Seven miles south of Leesburg off Evergreen Mills Rd near Brambleton","41469 Springvalley Ln, Leesburg, VA 20175, USA","ROOFTOP",c(-77.567994, 39.000663)
1,"OK","15120 Planck Lane
Purcellville, VA 20132","15120 Planck Lane, Purcellville, VA 20132, USA","ROOFTOP",c(-77.6792979, 39.1973344)
1,"OK","85 Preston Pt Rd
Mathews, VA 23109","85 Preston Point Rd, Mathews, VA 23109, USA","ROOFTOP",c(-76.354466, 37.4270953)
1,"OK","PO BOX 538
ACCOMAC, VA 23301","23380 Front St, Accomac, VA 23301, USA","ROOFTOP",c(-75.6698021, 37.7193753)
1,"OK","2070 Rolling Road South
Scottsville, VA 24590","2070 Rolling Rd S, Palmyra, VA 22963, USA","ROOFTOP",c(-78.386261, 37.82531)
1,"OK","7648 Crooked Run Road
Basye, VA 22810","7648 Crooked Run Rd, Edinburg, VA 22824, USA","ROOFTOP",c(-78.7664789, 38.8413629)
1,"OK","1225 Stagecoach Ave
Montvale, VA 24122
We are not open to the public at this time.","1225 Stagecoach Ave, Montvale, VA 24122, USA","ROOFTOP",c(-79.689077, 37.413714)
1,"OK","86 Moores Creek Rd
Lexington
Lexington, VA 24450","86 Moores Creek Rd, Lexington, VA 24450, USA","ROOFTOP",c(-79.5967557, 37.7358975)
1,"OK","2750 Hoover St. NW
Roanoke, VA 24017
","2750 Hoover St NW, Roanoke, VA 24017, USA","ROOFTOP",c(-79.9789136, 37.2923313)
1,"OK","1210 Patterson Ave. SW
Roanoke, VA 24016
","1210 Patterson Ave SW, Roanoke, VA 24016, USA","ROOFTOP",c(-79.9625899, 37.2721355)
1,"OK","2145 Thomas Jefferson Rd
Forest, VA 24551
Our Farm Market is open on Wednesdays from 4 to 6 PM and Saturdays 9AM to 12 noon. This also serves as our CSA pickup location. It is in the cinder block garage at our home, at the corner of Everett Rd and 811/Thomas Jefferson Rd.","2145 Thomas Jefferson Rd, Forest, VA 24551, USA","ROOFTOP",c(-79.2831461, 37.3504946)
1,"OK","8405 Floyd Hwy. N.
Copper Hill, VA 24079","8405 Floyd Hwy N, Copper Hill, VA 24079, USA","ROOFTOP",c(-80.1415281, 37.0760326)
1,"OK","2685 Dickie Road
Roseland, VA 22967
directions can be found on www.dickiebros.com ""directions"" page","2685 Dickie Rd, Roseland, VA 22967, USA","ROOFTOP",c(-79.0447527, 37.7734343)
1,"OK","216 Conner Ln SE
Copper Hill, VA 24079","216 Conner Ln SE, Copper Hill, VA 24079, USA","RANGE_INTERPOLATED",c(-80.1272137, 37.013026)
1,"OK","424 Jerry Ln. NE.
Check, VA 24072
","424 Jerry Ln NE, Check, VA 24072, USA","ROOFTOP",c(-80.2116891, 37.0168601)
1,"OK","3887 Reedy Spring Rd
29
Spout Spring , VA 24593","3887 Reedy Spring Rd, Spout Spring, VA 24593, USA","RANGE_INTERPOLATED",c(-78.926969, 37.3274661)
1,"OK","1588 Blue Grass Trail
Newport, VA 24128
Take Hwy 460 to Newport, turn towards New Castle at the Hwy 42 intersection (Super Val-U Store). Follow Hwy 42 (Blue Grass Trail) for 3.4 miles, farm is on the right.","1588 Blue Grass Trail, Newport, VA 24128, USA","ROOFTOP",c(-80.4546636, 37.3225263)
1,"OK","Robertson ln
rocky mount, VA 24151
Travel trailer next to the clearing at the top of the hill is the office, call for appointment.","Rocky Mount, VA 24151, USA","APPROXIMATE",c(-79.8919774, 36.9976403)
1,"OK","2351 Glade Road
Blacksburg, VA 24060","2351 Glade Rd, Blacksburg, VA 24060, USA","ROOFTOP",c(-80.4630821, 37.2358115)
1,"OK","19783 US Highway 29 Suite G
Chatham, VA 24531","19783 US-29 Suite G, Chatham, VA 24531, USA","ROOFTOP",c(-79.4035102, 36.8641984)
1,"OK","189 Mish Barn Rd
Middlebrook, VA 24459
Our farm is nestled in the beautiful Shenandoah Valley. We look forward to welcoming you here for farm events. The cows can't wait to meet you!","189 Mish Barn Rd, Middlebrook, VA 24459, USA","ROOFTOP",c(-79.208259, 38.061012)
1,"OK","2177 Tinkling Springs Rd.
Stuarts Draft, VA 24477
","2177 Tinkling Spring Rd, 1210 Cold Springs Rd, Stuarts Draft, VA 24477, USA","ROOFTOP",c(-79.0752639, 38.0074691)
1,"OK","43 Pure Meadows Lane
Swoope, VA 24479","43 Pure Meadows Ln, Swoope, VA 24479, USA","ROOFTOP",c(-79.23315, 38.120001)
1,"OK","2964 Stuarts Draft Hwy.
Stuarts Draft, VA 24477","2964 Stuarts Draft Hwy, Stuarts Draft, VA 24477, USA","ROOFTOP",c(-79.0231633, 38.0396061)
1,"OK","765 Middlebrook Ave
STAUNTON, 24401","765 Middlebrook Ave, Staunton, VA 24401, USA","ROOFTOP",c(-79.0786722, 38.1432553)
1,"OK","7 South New Street
Staunton, VA 24401","7 S New St, Staunton, VA 24401, USA","ROOFTOP",c(-79.0713685, 38.1494026)
1,"OK","Rt. 11 12 miles south of
Staunton, VA 24401","Staunton, VA 24401, USA","APPROXIMATE",c(-79.0716958, 38.149576)
1,"OK","1834 Rush Fork Road
Floyd, VA 24091
We have two locations- please make an appointment with us before arriving so that you know where to find us. Thanks!","1834 Rush Fork Rd SW, Floyd, VA 24091, USA","ROOFTOP",c(-80.41194, 36.834932)
1,"OK","3805 Heights School rd
Pamplin, VA 23958
Rt 460 to Pamplin (Richmond Hwy), 460 Business into Pamplin (Pamplin Rd), Rt 660 (Heights School Rd) on right.","3805 Heights School Rd, Pamplin, VA 23958, USA","ROOFTOP",c(-78.6445492, 37.2341906)
1,"OK","61 Highland Center Drive
Monterey, VA 24465
","61 Highland Center Dr, Monterey, VA 24465, USA","ROOFTOP",c(-79.5867691, 38.4099526)
1,"OK","6975 Jarman's Gap Rd
Crozet, VA 22932","6975 Jarmans Gap Rd, Crozet, VA 22932, USA","ROOFTOP",c(-78.7533736, 38.0736987)
1,"OK","751 Canterbury Dr
Halifax, VA 24558
Saturdays at the Halifax Farmers Market ;on main st Also Our new location at 14208 Mountain Rd. Vernon Hill Tuesdays & Thursdays 1130 til 430 pm","751 Canterbury Dr, Halifax, VA 24558, USA","ROOFTOP",c(-78.9347184, 36.7747929)
1,"OK","PO Box 43
Dugspur, VA 24325-0043","Dugspur, VA 24325, USA","APPROXIMATE",c(-80.5993854, 36.82849)
1,"OK","480 Harriston Road
Alondra Gonzalez
Grottoes , VA 24441","480 Harriston Rd, Grottoes, VA 24441, USA","ROOFTOP",c(-78.8111641, 38.2135786)
1,"OK","7916 Abilene Rd
Farmville, VA 23901
Available by appointment only","7916 Abilene Rd, Farmville, VA 23901, USA","ROOFTOP",c(-78.461992, 37.2297152)
