"id","status","address","address_google","location_type","pnt"
1,"OK","
  5217 Hoover RdReva, VA 22735","5217 Hoover Rd, Reva, VA 22735, USA","ROOFTOP",c(-78.1459097, 38.4581735)
1,"OK","
  3557 Poorhouse RdVictoria, VA 23974","3557 Poorhouse Rd, Victoria, VA 23974, USA","ROOFTOP",c(-78.2022188, 37.0080874)
1,"OK","
  1474 Copeland RdSuffolk, VA 23434","1474 Copeland Rd, Suffolk, VA 23434, USA","ROOFTOP",c(-76.666894, 36.672119)
1,"OK","
  2137 Clays Mill RdHalifax, VA 24558","2137 Clays Mill Rd, Halifax, VA 24558, USA","ROOFTOP",c(-78.8920506, 36.8398459)
1,"OK","
  Aldie, VA 20105","Aldie, VA 20105, USA","APPROXIMATE",c(-77.6418724, 38.9756745)
1,"OK","
  Charlottesville, VA ","Charlottesville, VA, USA","APPROXIMATE",c(-78.4766781, 38.0293059)
1,"OK","
  4975 Orange RoadRadiant, VA 22732","4975 Orange Rd, Radiant, VA 22732, USA","ROOFTOP",c(-78.2042651, 38.3146839)
1,"OK","
  12147 Brantleigh PlaceFairfax Station, VA 22039","12147 Brantleigh Pl, Fairfax Station, VA 22039, USA","ROOFTOP",c(-77.3702606, 38.7952245)
1,"OK","
  Fork Union, VA ","Fork Union, VA, USA","APPROXIMATE",c(-78.2624594, 37.7631725)
1,"OK","
  15789 Temple Hall LaneLeesburg, VA 20176","15789 Temple Hall Ln, Leesburg, VA 20176, USA","ROOFTOP",c(-77.52891, 39.179044)
1,"OK","
  Brentsville RoadManassas, VA 20112","Brentsville Rd, Manassas, VA 20112, USA","GEOMETRIC_CENTER",c(-77.4697878, 38.7094928)
1,"OK","
  474 Palmer Springs RoadBoydton, VA 23917","474 Palmer Springs Rd, Boydton, VA 23917, USA","ROOFTOP",c(-78.2521668, 36.5491479)
1,"OK","
  93 Berkeley LaneEvington, VA 24550","93 Berkeley Ln, Evington, VA 24550, USA","ROOFTOP",c(-79.3008021, 37.2401175)
1,"OK","
  Lexington, VA 24450","Lexington, VA 24450, USA","APPROXIMATE",c(-79.4428157, 37.7840208)
1,"OK","
  Rockbridge Baths, VA 24473","Rockbridge Baths, VA 24473, USA","APPROXIMATE",c(-79.4130534, 37.9276505)
1,"OK","
  1005 Pilot View RoadHillsville, VA 24343","1005 Pilot View Rd, Hillsville, VA 24343, USA","ROOFTOP",c(-80.5175372, 36.6493833)
1,"OK","
  1142 Douglas Church RoadFarmville, VA 23901","1142 Douglas Church Rd, Farmville, VA 23901, USA","ROOFTOP",c(-78.52277, 37.1817936)
1,"OK","
  22279 Alvarado RoadDamascus, VA 24236","22279 Alvarado Rd, Damascus, VA 24236, USA","ROOFTOP",c(-81.858401, 36.6430993)
1,"OK","
  Orange, VA 22960","Orange, VA 22960, USA","APPROXIMATE",c(-78.1108342, 38.2454106)
1,"OK","
  Lovettsville, VA 20180","Lovettsville, VA 20180, USA","APPROXIMATE",c(-77.636657, 39.2726017)
1,"OK","
  15537 Prices Bridge RoadGlade Spring, VA 24340","15537 Prices Bridge Rd, Glade Spring, VA 24340, USA","ROOFTOP",c(-81.741558, 36.730672)
1,"OK","
  Mill Iron RoadGoodview, VA 24095","Mill Iron Rd, Blue Ridge, VA 24095, USA","GEOMETRIC_CENTER",c(-79.7176398, 37.2349302)
1,"OK","
  751 Canterbury DriveHalifax, VA 24558","751 Canterbury Dr, Halifax, VA 24558, USA","ROOFTOP",c(-78.9347184, 36.7747929)
1,"OK","
  Rhoadesville, VA 22542","Rhoadesville, VA, USA","APPROXIMATE",c(-77.9284645, 38.2729476)
1,"OK","
  59 Forsythia DriveMartinsville, VA 24112","59 Forsythia Dr, Martinsville, VA 24112, USA","ROOFTOP",c(-79.9360201, 36.633061)
1,"OK","
  253 Granville CourtDry Fork, VA 24549","253 Granville Ct, Dry Fork, VA 24549, USA","ROOFTOP",c(-79.5207029, 36.6706804)
1,"OK","
  Sandy Point RoadCharles City, VA 23030","Sandy Point Rd, 3, VA 23030, USA","GEOMETRIC_CENTER",c(-76.9502919, 37.2654907)
1,"OK","
  4320 Swover Creek RoadEdinburg, VA 22824","4320 Swover Creek Rd, Edinburg, VA 22824, USA","ROOFTOP",c(-78.6674151, 38.8399634)
1,"OK","
  Haymarket, VA 20169","Haymarket, VA 20169, USA","APPROXIMATE",c(-77.6363806, 38.8120591)
1,"OK","
  7161 James Madison HighwayWarrenton, VA 20187","7161 James Madison Hwy, Warrenton, VA 20187, USA","ROOFTOP",c(-77.805809, 38.743851)
1,"OK","
  768 Nickland DriveEvington, VA 24550","768 Nickland Dr, Evington, VA 24550, USA","ROOFTOP",c(-79.1917972, 37.191083)
1,"OK","
  Rixeyville, VA 22737","Rixeyville, VA 22737, USA","APPROXIMATE",c(-77.9967043, 38.5977306)
1,"OK","
  266 Eastbrook RoadLynchburg, VA 24501","266 Eastbrook Rd, Lynchburg, VA 24501, USA","ROOFTOP",c(-79.061334, 37.351399)
1,"OK","
  7735 Neavils LaneCatlett, VA 20119","7735 Neavils Ln, Catlett, VA 20119, USA","ROOFTOP",c(-77.695773, 38.710392)
1,"OK","
  86 Plumb LaneFairfield, VA 24435","Fairfield, VA 24435, USA","APPROXIMATE",c(-79.3127543, 37.8928216)
1,"OK","
  4912 Riverview RoadWilliamsburg, VA 23188","4912 Riverview Rd, Williamsburg, VA 23188, USA","ROOFTOP",c(-76.7460187, 37.3940626)
1,"OK","
  150 Stonewall RoadFancy Gap, VA 24328","150 Stonewall Rd, Fancy Gap, VA 24328, USA","ROOFTOP",c(-80.6899699, 36.6694493)
1,"OK","
  Bedford, VA 24523","Bedford, VA 24523, USA","APPROXIMATE",c(-79.5230877, 37.3343079)
