name,phone,address,address_google,location_type,pnt,
Holiday Memories Farm,(410) 562-9733,"
  4848 Muddy Creek RoadWest River, MD 20778","4848 Muddy Creek Rd, West River, MD 20778, USA",ROOFTOP,c(-76.5631499, 38.841809)
Hidden Creek Farmstead,(570) 445-0724,"
  Accident, MD 21520","Accident, MD 21520, USA",APPROXIMATE,c(-79.319759, 39.628696)
Well Seasoned Farm,(301) 785-8737,"
  7901 Comus RoadDickerson, MD 20842","7901 Comus Rd, Dickerson, MD 20842, USA",ROOFTOP,c(-77.392941, 39.2517641)
Gott Farm,(443) 336-7788,"
  3830 Broomes Island RdPort Republic, MD 20676","3830 Broomes Island Rd, Port Republic, MD 20676, USA",ROOFTOP,c(-76.541639, 38.477708)
Willow Valley Farm,(410) 977-1283,"
  11939 Harford RoadGlen Arm, MD 21057","11939 Harford Rd, Glen Arm, MD 21057, USA",ROOFTOP,c(-76.470191, 39.449275)
Falls Glen Farm,(240) 793-3036,"
  MD 20861","Ashton, MD 20861, USA",APPROXIMATE,c(-76.9959872, 39.1503919)
Spoiled Hen Farm,(410) 322-9299,"
  1412 Rigdon RoadJarrettsville, MD 21084","1412 Rigdon Rd, Jarrettsville, MD 21084, USA",ROOFTOP,c(-76.43726, 39.5993102)
Fluffy Layers,NA,"
  Ednor RoadSilver Spring, MD 20905","Ednor Rd, Silver Spring, MD 20905, USA",GEOMETRIC_CENTER,c(-76.9953212, 39.1358866)
Little Shiloh Farm,(410) 693-7923,"
  4663 Solomons Island RdHarwood, MD 20776","4663 Solomons Island Rd, Harwood, MD 20776, USA",ROOFTOP,c(-76.608342, 38.85751)
House Family Farms,(443) 480-0656,"
  727 Island Creek RoadChurch Hill, MD 21623","727 Island Creek Rd, Church Hill, MD 21623, USA",ROOFTOP,c(-76.0105396, 39.1352231)
It’s A Beautiful Day Farm,(410) 251-4391,"
  27031 Pemberton DriveSalisbury, MD 21801","27031 Pemberton Dr, Salisbury, MD 21801, USA",ROOFTOP,c(-75.678244, 38.353788)
Our Crazy Critters,(240) 210-6124,"
  4585 Phillips RoadLa Plata, MD 20646","4585 Phillips Rd, La Plata, MD 20646, USA",ROOFTOP,c(-77.0537466, 38.5864582)
Los Locos Lobos,(240) 350-8003,"
  14762 Day RoadGoldsboro, MD 21636","14762 Day Rd, Goldsboro, MD 21636, USA",ROOFTOP,c(-75.851815, 39.012672)
Garden Family Farm,(443) 653-5085,"
  2404 Jennieville DriveDavidsonville, MD 21035","2404 Jennieville Dr, Davidsonville, MD 21035, USA",ROOFTOP,c(-76.611271, 38.919657)
Flower Hill Farm,(410) 279-3398,"
  1058 Lower Pindell RoadLothian, MD 20711","1058 Lower Pindell Rd, Lothian, MD 20711, USA",ROOFTOP,c(-76.671731, 38.767552)
Brightman Farm,(410) 651-0903,"
  12340 Julian LanePrincess Anne, MD 21853","12340 Julian Ln, Princess Anne, MD 21853, USA",ROOFTOP,c(-75.775775, 38.218173)
Hayden’s Coop,(443) 510-5276,"
  Greensboro RoadGreensboro, MD ","Greensboro Rd, Greensboro, MD, USA",GEOMETRIC_CENTER,c(-75.8006128, 38.9749631)
Aine’s Acres,(903) 519-1097,"
  2929 Tobacco RoadChesapeake Beach, MD 20732","2929 Tobacco Rd, Chesapeake Beach, MD 20732, USA",ROOFTOP,c(-76.525958, 38.613707)
Boxer Run Backyard Farm,NA,"
  Armacost RoadParkton, MD 21120","Armacost Rd, Maryland 21120, USA",GEOMETRIC_CENTER,c(-76.6918665, 39.6307027)
Loch Haven Farm,(410) 703-4495,"
  4615 Beckleysville RoadHampstead, MD 21074","4615 Beckleysville Rd, Hampstead, MD 21074, USA",ROOFTOP,c(-76.808879, 39.641519)
Happy Hens,(240) 529-7702,"
  Frederick, MD 21703","Frederick, MD 21703, USA",APPROXIMATE,c(-77.4587239, 39.3729916)
Annapolis Eggs at Windsor Farm,(410) 757-2904,"
  581 Broadneck RoadAnnapolis, MD 21409","581 Broadneck Rd, Annapolis, MD 21409, USA",ROOFTOP,c(-76.4582888, 39.0329254)
Second Chance Farm,(443) 995-3742,"
  Barclay, MD ","Barclay, MD, USA",APPROXIMATE,c(-75.8641033, 39.1442782)
Kings Coop,NA,"
  Shady Side, MD 20764","Shady Side, MD 20764, USA",APPROXIMATE,c(-76.5083562, 38.8302686)
Cabin Creek Heritage Farm,(301) 520-1121,"
  18235 Clagett Landing RoadUpper Marlboro, MD 20774","18235 Clagett Landing Rd, Upper Marlboro, MD 20774, USA",ROOFTOP,c(-76.6868448, 38.8733271)
We Bee Chicks,NA,"
  3808 Old Crain HighwayUpper Marlboro, MD 20772","3808 Old Crain Hwy, Upper Marlboro, MD 20772, USA",ROOFTOP,c(-76.7264778, 38.8365977)
Blue Tomato Farms,(410) 507-5917,"
  1 Jessie RoadHarwood, MD 20776","1 Jessie Rd, Harwood, MD 20776, USA",ROOFTOP,c(-76.59217, 38.896716)
