name,phone,address,address_google,location_type,pnt,
Elioenai Farm,(703) 994-6678,5217 Hoover RdReva VA 22735,"5217 Hoover Rd, Reva, VA 22735, USA",ROOFTOP,c(-78.1459097, 38.4581735)
RED OAKS HOMESTEAD,(910) 382-8898,3557 Poorhouse RdVictoria VA 23974,"3557 Poorhouse Rd, Victoria, VA 23974, USA",ROOFTOP,c(-78.2022188, 37.0080874)
Daily Bread Homestead,(757) 749-8892,1474 Copeland RdSuffolk VA 23434,"1474 Copeland Rd, Suffolk, VA 23434, USA",ROOFTOP,c(-76.666894, 36.672119)
Franchesca’s Dawn Farm,(703) 424-6497,2137 Clays Mill RdHalifax VA 24558,"2137 Clays Mill Rd, Halifax, VA 24558, USA",ROOFTOP,c(-78.8920506, 36.8398459)
Blue Mojo Farm,(571) 989-2884,Aldie VA 20105,"Aldie, VA 20105, USA",APPROXIMATE,c(-77.6418724, 38.9756745)
Camelot,NA,Charlottesville VA ,"Charlottesville, VA, USA",APPROXIMATE,c(-78.4766781, 38.0293059)
God’s Whisper Farm,(443) 693-2619,4975 Orange RoadRadiant VA 22732,"4975 Orange Rd, Radiant, VA 22732, USA",ROOFTOP,c(-78.2042651, 38.3146839)
Poplar Vale Farm,(703) 946-4211,12147 Brantleigh PlaceFairfax Station VA 22039,"12147 Brantleigh Pl, Fairfax Station, VA 22039, USA",ROOFTOP,c(-77.3702606, 38.7952245)
Turner Farm VA,(434) 260-8975,Fork Union VA ,"Fork Union, VA, USA",APPROXIMATE,c(-78.2624594, 37.7631725)
Temple Hall Farm,(703) 779-9372,15789 Temple Hall LaneLeesburg VA 20176,"15789 Temple Hall Ln, Leesburg, VA 20176, USA",ROOFTOP,c(-77.52891, 39.179044)
Fort Chick Eggs,(571) 338-1246,Brentsville RoadManassas VA 20112,"Brentsville Rd, Manassas, VA 20112, USA",GEOMETRIC_CENTER,c(-77.4697878, 38.7094928)
Ginn’s Lil Farm & Creations,(434) 755-3799,474 Palmer Springs RoadBoydton VA 23917,"474 Palmer Springs Rd, Boydton, VA 23917, USA",ROOFTOP,c(-78.2521668, 36.5491479)
Burton Farm,(434) 238-3164,93 Berkeley LaneEvington VA 24550,"93 Berkeley Ln, Evington, VA 24550, USA",ROOFTOP,c(-79.3008021, 37.2401175)
Golden Sky Farm,NA,Lexington VA 24450,"Lexington, VA 24450, USA",APPROXIMATE,c(-79.4428157, 37.7840208)
Finally Home Farm,(540) 348-2426,Rockbridge Baths VA 24473,"Rockbridge Baths, VA 24473, USA",APPROXIMATE,c(-79.4130534, 37.9276505)
Painter Farms,NA,1005 Pilot View RoadHillsville VA 24343,"1005 Pilot View Rd, Hillsville, VA 24343, USA",ROOFTOP,c(-80.5175372, 36.6493833)
Ordinary Acres,(434) 547-3469,1142 Douglas Church RoadFarmville VA 23901,"1142 Douglas Church Rd, Farmville, VA 23901, USA",ROOFTOP,c(-78.52277, 37.1817936)
Genesis Farm,(276) 698-9517,22279 Alvarado RoadDamascus VA 24236,"22279 Alvarado Rd, Damascus, VA 24236, USA",ROOFTOP,c(-81.858401, 36.6430993)
Woodlawn Farms – Blue Andalusian Chickens & Cotton Patch Geese,NA,Orange VA 22960,"Orange, VA 22960, USA",APPROXIMATE,c(-78.1108342, 38.2454106)
VillaPolliao,NA,Lovettsville VA 20180,"Lovettsville, VA 20180, USA",APPROXIMATE,c(-77.636657, 39.2726017)
Sycamore Bend,(540) 320-0094,15537 Prices Bridge RoadGlade Spring VA 24340,"15537 Prices Bridge Rd, Glade Spring, VA 24340, USA",ROOFTOP,c(-81.741558, 36.730672)
Seven Freedoms Farm,(617) 519-4192,Mill Iron RoadGoodview VA 24095,"Mill Iron Rd, Blue Ridge, VA 24095, USA",GEOMETRIC_CENTER,c(-79.7176398, 37.2349302)
Sindeband,(804) 447-5540,751 Canterbury DriveHalifax VA 24558,"751 Canterbury Dr, Halifax, VA 24558, USA",ROOFTOP,c(-78.9347184, 36.7747929)
Tree House Farm,NA,Rhoadesville VA 22542,"Rhoadesville, VA, USA",APPROXIMATE,c(-77.9284645, 38.2729476)
Stonehaus Farms,(276) 957-4048,59 Forsythia DriveMartinsville VA 24112,"59 Forsythia Dr, Martinsville, VA 24112, USA",ROOFTOP,c(-79.9360201, 36.633061)
Wilborns Poultry Farm,(434) 728-7099,253 Granville CourtDry Fork VA 24549,"253 Granville Ct, Dry Fork, VA 24549, USA",ROOFTOP,c(-79.5207029, 36.6706804)
Thompson’s Fresh Eggs,NA,Sandy Point RoadCharles City VA 23030,"Sandy Point Rd, 3, VA 23030, USA",GEOMETRIC_CENTER,c(-76.9502919, 37.2654907)
Egocentric egg and chicken ranchin association with Swover creek farm,(707) 290-5496,4320 Swover Creek RoadEdinburg VA 22824,"4320 Swover Creek Rd, Edinburg, VA 22824, USA",ROOFTOP,c(-78.6674151, 38.8399634)
La Petite Farm,(703) 754-4514,Haymarket VA 20169,"Haymarket, VA 20169, USA",APPROXIMATE,c(-77.6363806, 38.8120591)
LA Farms,(540) 347-4255,7161 James Madison HighwayWarrenton VA 20187,"7161 James Madison Hwy, Warrenton, VA 20187, USA",ROOFTOP,c(-77.805809, 38.743851)
Southern Eagle Ranch,(434) 941-9850,768 Nickland DriveEvington VA 24550,"768 Nickland Dr, Evington, VA 24550, USA",ROOFTOP,c(-79.1917972, 37.191083)
The Fewell Homestead,(540) 827-8285,Rixeyville VA 22737,"Rixeyville, VA 22737, USA",APPROXIMATE,c(-77.9967043, 38.5977306)
Bare Garden Farms,434,266 Eastbrook RoadLynchburg VA 24501,"266 Eastbrook Rd, Lynchburg, VA 24501, USA",ROOFTOP,c(-79.061334, 37.351399)
Newport Bay Farm,(202) 365-7808,7735 Neavils LaneCatlett VA 20119,"7735 Neavils Ln, Catlett, VA 20119, USA",ROOFTOP,c(-77.695773, 38.710392)
Kind Roots,(828) 406-8885,86 Plumb LaneFairfield VA 24435,"Fairfield, VA 24435, USA",APPROXIMATE,c(-79.3127543, 37.8928216)
Ragans Family Farm,(757) 817-0895,4912 Riverview RoadWilliamsburg VA 23188,"4912 Riverview Rd, Williamsburg, VA 23188, USA",ROOFTOP,c(-76.7460187, 37.3940626)
Foggy Top Egg Farm,(276) 728-2223,150 Stonewall RoadFancy Gap VA 24328,"150 Stonewall Rd, Fancy Gap, VA 24328, USA",ROOFTOP,c(-80.6899699, 36.6694493)
Shiloh Church Muscadines and Produce,(540) 425-4174,Bedford VA 24523,"Bedford, VA 24523, USA",APPROXIMATE,c(-79.5230877, 37.3343079)
Ya’Mamma,(757) 235-2795,5225 Blackwater RoadVirginia Beach VA 23457,"5225 Blackwater Rd, Virginia Beach, VA 23457, USA",ROOFTOP,c(-76.090984, 36.620816)
Violet’s Hens,(757) 271-9158,Chesapeake VA 23320,"Chesapeake, VA 23320, USA",APPROXIMATE,c(-76.2131474, 36.7578013)
Maribella Farm,(540) 226-2867,7531 Chancellor RoadFredericksburg VA 22407,"7531 Chancellor Rd, Fredericksburg, VA 22407, USA",ROOFTOP,c(-77.5925443, 38.2754194)
Hidden Meadow Poultry,(540) 464-1189,150 Hidden Meadow LaneLexington VA 24450,"150 Hidden Meadow Ln, Lexington, VA 24450, USA",ROOFTOP,c(-79.6274531, 37.7055354)
A Bit Of Heaven,(757) 202-1425,South Hill VA ,"South Hill, VA, USA",APPROXIMATE,c(-78.1288857, 36.726532)
