name,phone,address,website
Oak Hill Organics,(540) 745-2155,NA,NA
Farm To Family,(804) 397-7337,"2817 Mechanicsville Turnpike
Richmond, VA 23223",www.thefarmbus.com
Goose Creek Gardens,(540) 345-3405,NA,NA
Johnson's Orchards & Winery,(540) 586-3707,"1218 Elmos Road
Bedford, VA 24523",NA
rockbridge Cider Vinegar,NA,NA,NA
Brooklyn Hills Ranch,NA,"186 Foothills Trl, Amherst, VA 24521
Amherst, VA 24521
",BrooklynHillsRanch.com/
Weathertop Farm,(540) 651-2010,"963 Eanes Rd. NE
Check, VA 24072",www.weathertopfarm.com
Sapphire Farms,(434) 770-7945,"3174 Thompson Store Road
Vernon Hill
Halifax, VA 24597",www.sapphirefarmsva.com/
Longbottom Farm LLC,NA,"3044 Paynes Pond Road
Scottsville, VA 24590",NA
"Knapp's Bees, LLC",(734) 474-7550,"Farmland
Harrisonburg, VA 22801",
Glen Eco Farm,(540) 833-8802,"10943 Wills Creek Rd.
Linville, VA 22834",www.glenecofarm.com
Byrd Farm,(804) 241-6445,"6165 River Road West
Columbia, VA 23038
",NA
"Gardens of Khmet, LLC",(540) 923-5121,"2246 Lindsay Lane
Criglersville, VA 22727",NA
Riders Backfield Farm Beef,(540) 923-4036,"6251S F.T.Valley Rd
Etlan, VA 22719",NA
J & L Green Farm,(540) 333-1867,"4010 Swover Creek Rd
Edinburg, VA 22824-3728",www.jlgreenfarm.com
Manakin Market,(804) 314-9141,"68 Broad Street Road
Manakin-Sabot, VA 23103",NA
Frank Community Farm,(804) 878-2233,"2218 Fenton St.
Richmond, VA 23231",frankcommunity.org/csa
Farm Fresh Brown Eggs,(703) 963-7834,"P.O. Box 177
Midland, VA 22728",NA
Poverty Hollow CSA,(540) 409-6788,"105 Bishop Meade Road
Millwood, VA 22646",NA
Moon on the Mountain Farm and Fiber Arts LLC,(301) 908-4585,"20704 St. Louis Rd
Purcellville, VA 20132",www.moononthemountain.com
High View Farms,(540) 247-1552,"311 Swimley Rd.
Berryville, VA 22611",NA
Blue Mojo Farm,NA,NA,NA
Bees Knees Farm,(804) 885-5843,"3747 Custis Millpond Rd
West Point, VA 23181
Farm Store hours - Saturdays from 2-5 pm.",www.beeskneesfarmkw.com
New Asbury Farm,(703) 542-6226,"41469 Springvalley Lane
Leesburg, VA 20175
Seven miles south of Leesburg off Evergreen Mills Rd near Brambleton",www.newasburyfarm.com
Lydia's Fields,NA,"15120 Planck Lane
Purcellville, VA 20132",NA
Eastfields Farms,(804) 725-3948,"85 Preston Pt Rd
Mathews, VA 23109",NA
Perennial Roots,(757) 709-8761,"PO BOX 538
ACCOMAC, VA 23301",www.perennialroots.com
Harmony Hill Farm,(434) 286-7094,"2070 Rolling Road South
Scottsville, VA 24590",HarmonyHillFarm.net
Deauville Farm,(540) 856-2130,"7648 Crooked Run Road
Basye, VA 22810",
Wingstem Farm,(540) 947-0147,"1225 Stagecoach Ave
Montvale, VA 24122
We are not open to the public at this time.",www.wingstemfarm.com
Rockbridge farmers Alliance,(540) 463-9234,"86 Moores Creek Rd
Lexington
Lexington, VA 24450",NA
LEAP Mobile Market,(540) 632-1360,"2750 Hoover St. NW
Roanoke, VA 24017
", https://leapforlocalfood.org/markets/mobile/
LEAP Farm Share,(540) 632-1360,"1210 Patterson Ave. SW
Roanoke, VA 24016
",NA
Virginia Field Goods LLC,,NA,
Great Day Gardens,(502) 552-0768,"2145 Thomas Jefferson Rd
Forest, VA 24551
Our Farm Market is open on Wednesdays from 4 to 6 PM and Saturdays 9AM to 12 noon. This also serves as our CSA pickup location. It is in the cinder block garage at our home, at the corner of Everett Rd and 811/Thomas Jefferson Rd.",greatdaygardens.com
Windy Gap Apiary,,NA,NA
Halcyon Acres,(585) 554-4612,NA,NA
Copper Hill Farms,(540) 597-8037,"8405 Floyd Hwy. N.
Copper Hill, VA 24079",NA
"Dickie Bros. Orchard, LLC",(434) 277-5516,"2685 Dickie Road
Roseland, VA 22967
directions can be found on www.dickiebros.com ""directions"" page",dickiebros.com
Patchwork Farm,NA,"216 Conner Ln SE
Copper Hill, VA 24079",NA
Lucky Moon Farm,NA,NA,NA
Seven Springs Farm,(540) 651-3226,"424 Jerry Ln. NE.
Check, VA 24072
",NA
Liberty Flower Farm,(434) 944-6875,"3887 Reedy Spring Rd
29
Spout Spring , VA 24593",www.libertyflowerfarm.com
Bee Berry Farm,(540) 544-6833,"1588 Blue Grass Trail
Newport, VA 24128
Take Hwy 460 to Newport, turn towards New Castle at the Hwy 42 intersection (Super Val-U Store). Follow Hwy 42 (Blue Grass Trail) for 3.4 miles, farm is on the right.",www.beeberry.farm
Nomad Forest Farm,(571) 989-2621,"Robertson ln
rocky mount, VA 24151
Travel trailer next to the clearing at the top of the hill is the office, call for appointment.",www.mushroomspice.com
Glade Road Growing,NA,"2351 Glade Road
Blacksburg, VA 24060",NA
Liz Herndon,(434) 549-3318,"19783 US Highway 29 Suite G
Chatham, VA 24531",NA
Creambrook Farm,(540) 290-3721,"189 Mish Barn Rd
Middlebrook, VA 24459
Our farm is nestled in the beautiful Shenandoah Valley. We look forward to welcoming you here for farm events. The cows can't wait to meet you!",www.creambrookfarm.com
"Sunrise Farms, Inc",(540) 337-3773,"2177 Tinkling Springs Rd.
Stuarts Draft, VA 24477
",NA
Landis Legacy Farm,NA,NA,NA
Polyface Farm,(540) 885-3590,"43 Pure Meadows Lane
Swoope, VA 24479",NA
Stuarts Draft Farm Market,(540) 337-1686,"2964 Stuarts Draft Hwy.
Stuarts Draft, VA 24477",www.stuartsdraftfarmmarket.com
Ballerino Creamery,(540) 251-2240,"765 Middlebrook Ave
STAUNTON, 24401",www.ballerinocreamery.com
Cranberry's Grocery & Eatery,(540) 885-4755,"7 South New Street
Staunton, VA 24401",www.gocranberrys.com
Flower Fields,(540) 849-8026,"Rt. 11 12 miles south of
Staunton, VA 24401",www.flowerfieldsva.com
Geezer Farm,(540) 470-7510,NA,
Fields Edge Farm,(540) 789-2347,"1834 Rush Fork Road
Floyd, VA 24091
We have two locations- please make an appointment with us before arriving so that you know where to find us. Thanks!",www.fieldsedgefarms.com
