"name","address","phone"
"Holiday Memories Farm","
  4848 Muddy Creek RoadWest River, MD 20778","(410) 562-9733"
"Hidden Creek Farmstead","
  Accident, MD 21520","(570) 445-0724"
"Well Seasoned Farm","
  7901 Comus RoadDickerson, MD 20842","(301) 785-8737"
"Gott Farm","
  3830 Broomes Island RdPort Republic, MD 20676","(443) 336-7788"
"Willow Valley Farm","
  11939 Harford RoadGlen Arm, MD 21057","(410) 977-1283"
"Falls Glen Farm","
  MD 20861","(240) 793-3036"
"Spoiled Hen Farm","
  1412 Rigdon RoadJarrettsville, MD 21084","(410) 322-9299"
"Fluffy Layers","
  Ednor RoadSilver Spring, MD 20905",NA
"Little Shiloh Farm","
  4663 Solomons Island RdHarwood, MD 20776","(410) 693-7923"
"House Family Farms","
  727 Island Creek RoadChurch Hill, MD 21623","(443) 480-0656"
"It’s A Beautiful Day Farm","
  27031 Pemberton DriveSalisbury, MD 21801","(410) 251-4391"
"Our Crazy Critters","
  4585 Phillips RoadLa Plata, MD 20646","(240) 210-6124"
"Los Locos Lobos","
  14762 Day RoadGoldsboro, MD 21636","(240) 350-8003"
"Garden Family Farm","
  2404 Jennieville DriveDavidsonville, MD 21035","(443) 653-5085"
"Flower Hill Farm","
  1058 Lower Pindell RoadLothian, MD 20711","(410) 279-3398"
"Brightman Farm","
  12340 Julian LanePrincess Anne, MD 21853","(410) 651-0903"
"Hayden’s Coop","
  Greensboro RoadGreensboro, MD ","(443) 510-5276"
"Aine’s Acres","
  2929 Tobacco RoadChesapeake Beach, MD 20732","(903) 519-1097"
"Boxer Run Backyard Farm","
  Armacost RoadParkton, MD 21120",NA
"Loch Haven Farm","
  4615 Beckleysville RoadHampstead, MD 21074","(410) 703-4495"
"Happy Hens","
  Frederick, MD 21703","(240) 529-7702"
"Annapolis Eggs at Windsor Farm","
  581 Broadneck RoadAnnapolis, MD 21409","(410) 757-2904"
"Second Chance Farm","
  Barclay, MD ","(443) 995-3742"
"Kings Coop","
  Shady Side, MD 20764","lettuceknow@live.com"
"Blue Tomato Farms","
  1 Jessie RoadHarwood, MD 20776","(410) 507-5917"
