"name","address","phone"
"Elioenai Farm","
  5217 Hoover RdReva, VA 22735","(703) 994-6678"
"RED OAKS HOMESTEAD","
  3557 Poorhouse RdVictoria, VA 23974","(910) 382-8898"
"Daily Bread Homestead","
  1474 Copeland RdSuffolk, VA 23434","(757) 749-8892"
"Franchesca’s Dawn Farm","
  2137 Clays Mill RdHalifax, VA 24558","(703) 424-6497"
"Blue Mojo Farm","
  Aldie, VA 20105","(571) 989-2884"
"Camelot","
  Charlottesville, VA ",NA
"God’s Whisper Farm","
  4975 Orange RoadRadiant, VA 22732","(443) 693-2619"
"Poplar Vale Farm","
  12147 Brantleigh PlaceFairfax Station, VA 22039","(703) 946-4211"
"Turner Farm VA","
  Fork Union, VA ","(434) 260-8975"
"Temple Hall Farm","
  15789 Temple Hall LaneLeesburg, VA 20176","(703) 779-9372"
"Fort Chick Eggs","
  Brentsville RoadManassas, VA 20112","(571) 338-1246"
"Ginn’s Lil Farm & Creations","
  474 Palmer Springs RoadBoydton, VA 23917","(434) 755-3799"
"Burton Farm","
  93 Berkeley LaneEvington, VA 24550","(434) 238-3164"
"Golden Sky Farm","
  Lexington, VA 24450",NA
"Finally Home Farm","
  Rockbridge Baths, VA 24473","(540) 348-2426"
"Painter Farms","
  1005 Pilot View RoadHillsville, VA 24343","(276) 398-3992"
"Ordinary Acres","
  1142 Douglas Church RoadFarmville, VA 23901","(434) 547-3469"
"Genesis Farm","
  22279 Alvarado RoadDamascus, VA 24236","(276) 698-9517"
"Woodlawn Farms – Blue Andalusian Chickens & Cotton Patch Geese","
  Orange, VA 22960",NA
"VillaPolliao","
  Lovettsville, VA 20180",NA
"Sycamore Bend","
  15537 Prices Bridge RoadGlade Spring, VA 24340","(540) 320-0094"
"Seven Freedoms Farm","
  Mill Iron RoadGoodview, VA 24095","(617) 519-4192"
"Sindeband","
  751 Canterbury DriveHalifax, VA 24558","(804) 447-5540"
"Tree House Farm","
  Rhoadesville, VA 22542",NA
"Stonehaus Farms","
  59 Forsythia DriveMartinsville, VA 24112","(276) 957-4048"
"Wilborns Poultry Farm","
  253 Granville CourtDry Fork, VA 24549","(434) 728-7099"
"Thompson’s Fresh Eggs","
  Sandy Point RoadCharles City, VA 23030",NA
"Egocentric egg and chicken ranchin association with Swover creek farm","
  4320 Swover Creek RoadEdinburg, VA 22824","(707) 290-5496"
"La Petite Farm","
  Haymarket, VA 20169","(703) 754-4514"
"LA Farms","
  7161 James Madison HighwayWarrenton, VA 20187","(540) 347-4255"
"Southern Eagle Ranch","
  768 Nickland DriveEvington, VA 24550","(434) 941-9850"
"The Fewell Homestead","
  Rixeyville, VA 22737","(540) 827-8285"
"Bare Garden Farms","
  266 Eastbrook RoadLynchburg, VA 24501","434"
"Newport Bay Farm","
  7735 Neavils LaneCatlett, VA 20119","(202) 365-7808"
"Kind Roots","
  86 Plumb LaneFairfield, VA 24435","(828) 406-8885"
"Ragans Family Farm","
  4912 Riverview RoadWilliamsburg, VA 23188","(757) 817-0895"
"Foggy Top Egg Farm","
  150 Stonewall RoadFancy Gap, VA 24328","(276) 728-2223"
"Shiloh Church Muscadines and Produce","
  Bedford, VA 24523","(540) 425-4174"
"Ya’Mamma","
  5225 Blackwater RoadVirginia Beach, VA 23457","(757) 235-2795"
"Violet’s Hens","
  Chesapeake, VA 23320","(757) 271-9158"
"Maribella Farm","
  7531 Chancellor RoadFredericksburg, VA 22407","(540) 226-2867"
"Hidden Meadow Poultry","
  150 Hidden Meadow LaneLexington, VA 24450","(540) 464-1189"
"A Bit Of Heaven","
  South Hill, VA ","(757) 202-1425"
"Liber Farms","
  Nokesville, VA 20181",NA
"Double H Farm","
  361 Link RoadGalax, VA 24333","(276) 781-6268"
"Glenwood Farm","
  3831 Harry Byrd HighwayBerryville, VA 22611",NA
"Romans Roost","
  3701 Charles City RoadRichmond, VA 23231","(804) 901-3465"
"Windy Ridge Farms","
  5433 Roark Mill RoadHurt, VA 24563","(434) 546-5557"
"Saddle Ridge Farm","
  10208 Jamesons Mill RoadCulpeper, VA 22701","(703) 887-8041"
"Redwood Farms","
  Waynesboro, VA 22980","(540) 466-4187"
