"","date","hits","keyword","geo","time","gprop","category"
"1",2010-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"2",2010-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"3",2010-03-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"4",2010-04-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"5",2010-05-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"6",2010-06-01,54,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"7",2010-07-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"8",2010-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"9",2010-09-01,23,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"10",2010-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"11",2010-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"12",2010-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"13",2011-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"14",2011-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"15",2011-03-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"16",2011-04-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"17",2011-05-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"18",2011-06-01,100,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"19",2011-07-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"20",2011-08-01,47,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"21",2011-09-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"22",2011-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"23",2011-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"24",2011-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"25",2012-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"26",2012-02-01,43,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"27",2012-03-01,78,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"28",2012-04-01,39,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"29",2012-05-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"30",2012-06-01,75,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"31",2012-07-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"32",2012-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"33",2012-09-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"34",2012-10-01,33,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"35",2012-11-01,39,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"36",2012-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"37",2013-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"38",2013-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"39",2013-03-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"40",2013-04-01,35,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"41",2013-05-01,33,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"42",2013-06-01,34,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"43",2013-07-01,35,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"44",2013-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"45",2013-09-01,34,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"46",2013-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"47",2013-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"48",2013-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"49",2014-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"50",2014-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"51",2014-03-01,32,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"52",2014-04-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"53",2014-05-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"54",2014-06-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"55",2014-07-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"56",2014-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"57",2014-09-01,28,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"58",2014-10-01,23,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"59",2014-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"60",2014-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"61",2015-01-01,23,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"62",2015-02-01,51,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"63",2015-03-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"64",2015-04-01,25,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"65",2015-05-01,28,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"66",2015-06-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"67",2015-07-01,35,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"68",2015-08-01,71,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"69",2015-09-01,34,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"70",2015-10-01,32,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"71",2015-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"72",2015-12-01,33,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"73",2016-01-01,31,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"74",2016-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"75",2016-03-01,30,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"76",2016-04-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"77",2016-05-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"78",2016-06-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"79",2016-07-01,33,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"80",2016-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"81",2016-09-01,32,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"82",2016-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"83",2016-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"84",2016-12-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"85",2017-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"86",2017-02-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"87",2017-03-01,52,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"88",2017-04-01,28,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"89",2017-05-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"90",2017-06-01,30,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"91",2017-07-01,31,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"92",2017-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"93",2017-09-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"94",2017-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"95",2017-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"96",2017-12-01,30,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"97",2018-01-01,57,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"98",2018-02-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"99",2018-03-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"100",2018-04-01,44,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"101",2018-05-01,29,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"102",2018-06-01,30,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"103",2018-07-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"104",2018-08-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"105",2018-09-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"106",2018-10-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"107",2018-11-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"108",2018-12-01,30,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"109",2019-01-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"110",2019-02-01,31,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"111",2019-03-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"112",2019-04-01,58,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"113",2019-05-01,43,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"114",2019-06-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"115",2019-07-01,31,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"116",2019-08-01,31,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"117",2019-09-01,0,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"118",2019-10-01,27,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"119",2019-11-01,28,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"120",2019-12-01,28,"""incubator""","US-DC-511","2010-01-01 2019-12-31","web",66
"121",2010-01-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"122",2010-02-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"123",2010-03-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"124",2010-04-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"125",2010-05-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"126",2010-06-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"127",2010-07-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"128",2010-08-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"129",2010-09-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"130",2010-10-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"131",2010-11-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"132",2010-12-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"133",2011-01-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"134",2011-02-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
"135",2011-03-01,0,"""incubator""","US-MD-576","2010-01-01 2019-12-31","web",66
