"","date","hits","keyword","geo","time","gprop","category"
"1",2010-01-01,0,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"2",2010-02-01,11,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"3",2010-03-01,32,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"4",2010-04-01,19,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"5",2010-05-01,18,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"6",2010-06-01,18,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"7",2010-07-01,8,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"8",2010-08-01,23,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"9",2010-09-01,7,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"10",2010-10-01,14,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"11",2010-11-01,14,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"12",2010-12-01,7,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"13",2011-01-01,0,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"14",2011-02-01,100,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"15",2011-03-01,0,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"16",2011-04-01,28,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"17",2011-05-01,34,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"18",2011-06-01,17,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"19",2011-07-01,17,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"20",2011-08-01,46,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"21",2011-09-01,16,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"22",2011-10-01,23,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"23",2011-11-01,31,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"24",2011-12-01,0,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"25",2012-01-01,27,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"26",2012-02-01,21,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"27",2012-03-01,20,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"28",2012-04-01,52,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"29",2012-05-01,31,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
"30",2012-06-01,19,"""chickens for sale""","US-DC-511","2010-01-01 2019-12-31","web",0
