"","date","hits","keyword","geo","time","gprop","category"
"1",2010-01-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"2",2010-02-01,37,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"3",2010-03-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"4",2010-04-01,33,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"5",2010-05-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"6",2010-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"7",2010-07-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"8",2010-08-01,27,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"9",2010-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"10",2010-10-01,25,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"11",2010-11-01,24,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"12",2010-12-01,48,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"13",2011-01-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"14",2011-02-01,70,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"15",2011-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"16",2011-04-01,66,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"17",2011-05-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"18",2011-06-01,58,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"19",2011-07-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"20",2011-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"21",2011-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"22",2011-10-01,52,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"23",2011-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"24",2011-12-01,50,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"25",2012-01-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"26",2012-02-01,100,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"27",2012-03-01,46,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"28",2012-04-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"29",2012-05-01,88,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"30",2012-06-01,44,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"31",2012-07-01,45,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"32",2012-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"33",2012-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"34",2012-10-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"35",2012-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"36",2012-12-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"37",2013-01-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"38",2013-02-01,42,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"39",2013-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"40",2013-04-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"41",2013-05-01,77,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"42",2013-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"43",2013-07-01,61,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"44",2013-08-01,41,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"45",2013-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"46",2013-10-01,39,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"47",2013-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"48",2013-12-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"49",2014-01-01,38,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"50",2014-02-01,41,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"51",2014-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"52",2014-04-01,67,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"53",2014-05-01,34,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"54",2014-06-01,39,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"55",2014-07-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"56",2014-08-01,36,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"57",2014-09-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"58",2014-10-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"59",2014-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"60",2014-12-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"61",2015-01-01,27,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"62",2015-02-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"63",2015-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"64",2015-04-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"65",2015-05-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"66",2015-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"67",2015-07-01,41,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"68",2015-08-01,41,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"69",2015-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"70",2015-10-01,37,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"71",2015-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"72",2015-12-01,39,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"73",2016-01-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"74",2016-02-01,37,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"75",2016-03-01,53,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"76",2016-04-01,36,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"77",2016-05-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"78",2016-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"79",2016-07-01,39,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"80",2016-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"81",2016-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"82",2016-10-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"83",2016-11-01,34,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"84",2016-12-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"85",2017-01-01,63,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"86",2017-02-01,34,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"87",2017-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"88",2017-04-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"89",2017-05-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"90",2017-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"91",2017-07-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"92",2017-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"93",2017-09-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"94",2017-10-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"95",2017-11-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"96",2017-12-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"97",2018-01-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"98",2018-02-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"99",2018-03-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"100",2018-04-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"101",2018-05-01,34,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"102",2018-06-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"103",2018-07-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"104",2018-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"105",2018-09-01,36,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"106",2018-10-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"107",2018-11-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"108",2018-12-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"109",2019-01-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"110",2019-02-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"111",2019-03-01,64,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"112",2019-04-01,34,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"113",2019-05-01,66,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"114",2019-06-01,36,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"115",2019-07-01,35,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"116",2019-08-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"117",2019-09-01,33,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"118",2019-10-01,31,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"119",2019-11-01,32,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"120",2019-12-01,0,"""chicken hatchery""","US-DC-511","2010-01-01 2019-12-31","web",0
"121",2010-01-01,8,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"122",2010-02-01,9,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"123",2010-03-01,30,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"124",2010-04-01,23,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"125",2010-05-01,26,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"126",2010-06-01,22,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"127",2010-07-01,13,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"128",2010-08-01,6,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"129",2010-09-01,6,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"130",2010-10-01,6,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"131",2010-11-01,6,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"132",2010-12-01,8,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"133",2011-01-01,30,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"134",2011-02-01,24,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"135",2011-03-01,15,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"136",2011-04-01,100,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"137",2011-05-01,21,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"138",2011-06-01,27,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"139",2011-07-01,0,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"140",2011-08-01,13,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"141",2011-09-01,13,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"142",2011-10-01,25,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"143",2011-11-01,0,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"144",2011-12-01,12,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"145",2012-01-01,33,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"146",2012-02-01,17,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"147",2012-03-01,37,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"148",2012-04-01,74,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"149",2012-05-01,57,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"150",2012-06-01,10,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"151",2012-07-01,11,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"152",2012-08-01,15,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"153",2012-09-01,0,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"154",2012-10-01,9,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"155",2012-11-01,0,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"156",2012-12-01,11,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"157",2013-01-01,24,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"158",2013-02-01,24,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"159",2013-03-01,61,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"160",2013-04-01,38,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"161",2013-05-01,36,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"162",2013-06-01,18,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"163",2013-07-01,19,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"164",2013-08-01,29,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"165",2013-09-01,14,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"166",2013-10-01,18,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"167",2013-11-01,10,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"168",2013-12-01,0,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"169",2014-01-01,27,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"170",2014-02-01,34,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
"171",2014-03-01,35,"""baby chicks""","US-DC-511","2010-01-01 2019-12-31","web",0
