"","Phone","Name","id","status","address","address_google","location_type","pnt"
"1","804 445-2067","Cross Street & the Fountain Green Tappahannock VA 22560",1,"OK","Cross Street & the Fountain Green Tappahannock VA 22560","4403 Convoy St, San Diego, CA 92111, USA","ROOFTOP",c(-117.154715, 32.8201863)
"2","540 448-1937","Staunton Farmers' Market",1,"OK","Corner of Byers and Johnson Streets Staunton VA 24401","Byers St & W Johnson St, Staunton, VA 24401, USA","GEOMETRIC_CENTER",c(-79.0728989, 38.1484882)
"3","540 395-5315","Shady Oaks",1,"OK","Blueberry Lane Burr Hill VA 22433","Blueberry Ln, 4, VA 22433, USA","GEOMETRIC_CENTER",c(-77.8692347, 38.3490715)
"4","757 397-6395","Portsmouth Farmers Market-PortsEvents",1,"OK","Court and High Street Portsmouth VA 23704","601 Crawford St, Portsmouth, VA 23704, USA","ROOFTOP",c(-76.2974308, 36.8341723)
"5","540 372-1086","Fredericksburg Farmers Market-Mayfield Neighborhood Market",1,"OK","Corner of Tyler and Dixon Streets Fredericksburg VA 22401","Dixon St & Tyler St, Fredericksburg, VA 22401, USA","GEOMETRIC_CENTER",c(-77.4561694, 38.2874078)
"6","276 322-4626","Bluefield VA Farmers Market",1,"OK","Walnut Street Bluefield VA 24605","Walnut St, Bluefield, VA 24605, USA","GEOMETRIC_CENTER",c(-81.2731331, 37.2491245)
"7","540 672-7479","5 Riders Farm",1,"OK","3849 Twymans Mill Road Orange  VA 22960","3849 Twymans Mill Rd, Orange, VA 22960, USA","ROOFTOP",c(-78.1444795, 38.3374371)
"8","540 445-1020","7 Acres Farm",1,"OK","1832 N Seminole Trl Madison  VA 22727","1832 N Seminole Trail, Madison, VA 22727, USA","ROOFTOP",c(-78.2297353, 38.3973972)
"9","240 626-3488","A World Away Farm, LLC",1,"OK","16080 Newbys Shop Road Elkwood  VA 22718","16080 Newbys Shop Rd, Elkwood, VA 22718, USA","ROOFTOP",c(-77.825264, 38.481215)
"10","276 466-3868","A bingdon Bristol CSA",1,"OK","17083 Buffalo Pond Road Bristol  VA 24202","17083 Buffalo Pond Rd, Bristol, VA 24202, USA","ROOFTOP",c(-82.156552, 36.69994)
"11","540 679-9478","A ddison Patch Farm",1,"OK","207 Addison Patch Road Hot Springs  VA 24445","207 Addison Patch Rd, Hot Springs, VA 24445, USA","ROOFTOP",c(-79.8786177, 37.9262866)
"12","540 967-1213","A dlyn Farm",1,"OK","5568 Parrish Road
Louisa  VA 23093","5568 Parrish Rd, Louisa, VA 23093, USA","ROOFTOP",c(-78.0393589, 37.8966829)
"13",NA,"A erie Farm LLC",1,"OK","1117 Suiter Road Bland VA 24315","1117 Suiter Rd, Bland, VA 24315, USA","ROOFTOP",c(-81.1839301, 37.0832767)
"14","703 327-4424","A mazing Fun Farm at Ticonderoga",1,"OK","26469 Ticonderoga Road
Chantilly  VA 20152","26469 Ticonderoga Rd, Chantilly, VA 20152, USA","ROOFTOP",c(-77.5373482, 38.8893819)
"15","276 682-4435","A nderson Grass Fed Beef",1,"OK","765 Whackertown Drive
Bland  VA 24315","765 Whackertown Dr, Bland, VA 24315, USA","ROOFTOP",c(-81.2364156, 37.04894)
"16","540 645-7095","A pfel Farms & Creamery LLC",1,"OK","192 Saddleback Farm Lane Bumpass  VA 23024","192 Saddleback Farm Ln, Bumpass, VA 23024, USA","ROOFTOP",c(-77.7977077, 37.9519937)
"17","276 623-1121","A ppalachian Sustainable Development",1,"OK","PO Box 791 Abingdon  VA 24212","Abingdon, VA 24212, USA","APPROXIMATE",c(-81.98, 36.71)
"18","540 253-5289","A rchwood Green Barns Farmers' Market",1,"OK","4557 Old Tavern Road The Plains  VA 20198","4557 Old Tavern Rd, The Plains, VA 20198, USA","ROOFTOP",c(-77.7863232, 38.8512019)
"19","434 283-8109","A uburnlea Farms",1,"OK","5500 Mollies Creek Road Gladys  VA","5500 Mollies Creek Rd, Gladys, VA 24554, USA","ROOFTOP",c(-79.026279, 37.146555)
"20","434 248-6050","A ult's Family Farm",1,"OK","14100 Thomas Jefferson Highway Pamplin  VA 23958","14100 Thomas Jefferson Hwy, Pamplin, VA 23958, USA","ROOFTOP",c(-78.6850867, 37.2251444)
"21","804 561-1930","A very's Branch Farms",1,"OK","16923 Genito Rd.
Amelia  VA 23002","16923 Genito Rd, Amelia Court House, VA 23002, USA","RANGE_INTERPOLATED",c(-77.9917467, 37.4460166)
"22","540 592-7018","A yrshire Farm",1,"OK","21846 Trappe Road
Upperville  VA 20184","21846 Trappe Rd, Upperville, VA 20184, USA","ROOFTOP",c(-77.8701689, 39.010693)
"23","434 473-8363","B are Garden Farms",1,"OK","266 Eastbrook Rd
Lynchburg  VA 24501","266 Eastbrook Rd, Lynchburg, VA 24501, USA","ROOFTOP",c(-79.061334, 37.351399)
"24",NA,"B eaver Creek Game Farms",1,"OK","7356 Osborne Tpk Richmond VA 23231","7356 Osborne Turnpike, Richmond, VA 23231, USA","ROOFTOP",c(-77.399464, 37.463884)
"25","540 879-2970","B eery, Sidney L",1,"OK","4840 Witmer Lane
Dayton  VA 22821","4840 Witmer Ln, Dayton, VA 22821, USA","ROOFTOP",c(-79.0223001, 38.4406081)
"26","804 885-5843","B ees Knees Farm",1,"OK","3747 Custis Millpond Road West Point  VA 23181","3747 Custis Millpond Rd, West Point, VA 23181, USA","ROOFTOP",c(-76.894698, 37.6247339)
"27","540 808-4864","B errey Hill Farm",1,"OK","637 Berrey Road
Madison  VA 22727","637 Berrey Rd, Madison, VA 22727, USA","ROOFTOP",c(-78.3161081, 38.4600741)
"28","276 274-2423","B lack Hollow Hogs",1,"OK","14305 Black Hollow Road Abingdon  VA 24210-8167","14305 Black Hollow Rd, Abingdon, VA 24210, USA","ROOFTOP",c(-82.1086487, 36.680695)
"29","540 239-8290","B lacksburg Farmers Market",1,"OK","100 Draper Road NW Blacksburg  VA 24060","100 Draper Rd NW, Blacksburg, VA 24061, USA","ROOFTOP",c(-80.4142866, 37.22863)
"30","804 339-3781","B lackstone Bees",1,"OK","3532 Rocky Hill Road Blackstone  VA 23824","3532 Rocky Hill Rd, Blackstone, VA 23824, USA","ROOFTOP",c(-77.9146915, 37.1821338)
"31","703 475-6146","B otetourt Farmers Market",1,"OK","90 Town Center Street Daleville  VA 24083","90 Town Center Street, Daleville, VA 24083, USA","ROOFTOP",c(-79.9127548, 37.4166779)
"32","804 991-0336","B ottle Tree Farm LLC",1,"OK","6495 Beaver Dam Road Waverly  VA 23890","6495 Beaver Dam Rd, Waverly, VA 23890, USA","ROOFTOP",c(-77.081531, 37.0266716)
"33","804 720-8168","B oydton Plank Farm",1,"OK","12909 Boydton Plank Road Dinwiddie  VA 23841","12909 Boydton and Petersburg Plank Rd, Dinwiddie, VA 23841, USA","ROOFTOP",c(-77.5701586, 37.0940642)
"34","540 899-9848","B raehead Farm",1,"OK","1130 Tyler Street
Fredricksburg  VA 22401","1130 Tyler St, Fredericksburg, VA 22401, USA","ROOFTOP",c(-77.4715612, 38.2851857)
"35","540 473-1585","B rambleberry Farm",1,"OK","309 Pond Road
Fincastle  VA 24090","309 Pond Rd, Fincastle, VA 24090, USA","ROOFTOP",c(-79.828205, 37.520121)
"36","252 459-2143","B raswell Milling Company",1,"OK","20850 Jackson Lane
Jetersville  VA 23083","20850 Jackson Ln, Jetersville, VA 23083, USA","RANGE_INTERPOLATED",c(-78.073435, 37.301615)
"37","804 436-3171","B rindle Bay Farm",1,"OK","295 Mallard Drive
Heathsville  VA 2247","295 Mallard Dr, Heathsville, VA 22473, USA","ROOFTOP",c(-76.4133545, 37.87553)
"38","540 458-1001","B roadview Ranch",1,"OK","1397 Zollman's Mill Road Lexington  VA 24450","1397 Zollmans Mill Rd, Lexington, VA 24450, USA","ROOFTOP",c(-79.5258404, 37.7312109)
"39","757 242-6800","B roken Arrows Farm",1,"OK","25590 Bows and Arrows Rd. Zuni  VA 23898","25590 Bows and Arrows Rd, Zuni, VA 23898, USA","ROOFTOP",c(-76.824234, 36.790086)
"40","540 381-1856","B rush Creek Aquaponics",1,"OK","4610 Brush Creek Rd.
Riner  VA 24149","4610 Brush Creek Rd, Riner, VA 24149, USA","ROOFTOP",c(-80.3626, 37.0479)
"41","540 341-4739","B uckland Farm Market",1,"OK","4484 Lee Highway
Warrenton  VA 20187","4484 Lee Hwy, Warrenton, VA 20187, USA","ROOFTOP",c(-77.6983447, 38.7722663)
"42","804 241-6445","B yrd Farm Enterprise, LLC",1,"OK","6165 River Road West Columbia  VA 23038","6165 River Rd W, Columbia, VA 23038, USA","ROOFTOP",c(-78.122432, 37.7419)
"43","434 990-0118","C air Paravel Enterprises, LLC",1,"OK","1336 Pocosan Mountain Road Stanardsville  VA 22973","1336 Pocosan Mountain Rd, Stanardsville, VA 22973, USA","ROOFTOP",c(-78.4536893, 38.3814875)
"44","276 431-3458","C antrells Cage Free Chickens",1,"OK","725 Cove Creek Mine Lane Duffield  VA 24244","725 Cove Creek Mine Ln, Duffield, VA 24244, USA","ROOFTOP",c(-82.6950483, 36.7785426)
"45","757 607-6483","C ape Charles Farmers Market",1,"OK","814 Randolph Street
Cape Charles  VA 23310","814 Randolph Ave, Cape Charles, VA 23310, USA","GEOMETRIC_CENTER",c(-76.008091, 37.268044)
