"","Phone","Name","id","status","address","address_google","location_type","pnt"
"1","540 445-1020","7 Acres Farm",1,"OK","1832 N Seminole Trl Madison  VA 22727","1832 N Seminole Trail, Madison, VA 22727, USA","ROOFTOP",c(-78.2297353, 38.3973972)
"2","276 682-4435","A nderson Grass Fed Beef",1,"OK","765 Whackertown Drive
Bland  VA 24315","765 Whackertown Dr, Bland, VA 24315, USA","ROOFTOP",c(-81.2364156, 37.04894)
"3","276 202-3073","A   ppalachian Meats LLC",1,"OK","107 East Main Street Lebanon  VA 24266","107 E Main St, Lebanon, VA 24266, USA","RANGE_INTERPOLATED",c(-82.0783125, 36.9013122)
"4","202 827-5437","A rlington Farmers Market",1,"OK","1401 North Courthouse Road Arlington  VA 22201","1401 N Courthouse Rd, Arlington, VA 22201, USA","ROOFTOP",c(-77.0832507, 38.8898096)
"5","434 248-6050","A ult's Family Farm",1,"OK","14100 Thomas Jefferson Highway Pamplin  VA 23958","14100 Thomas Jefferson Hwy, Pamplin, VA 23958, USA","ROOFTOP",c(-78.6850867, 37.2251444)
"6","804 561-1930","A very's Branch Farm",1,"OK","16923 Genito Rd.
Amelia  VA 23002","16923 Genito Rd, Amelia Court House, VA 23002, USA","RANGE_INTERPOLATED",c(-77.9917467, 37.4460166)
"7","540 592-7018","A   yrshire Far",1,"OK","  21846 Trappe Road
Upperville  VA 20184","21846 Trappe Rd, Upperville, VA 20184, USA","ROOFTOP",c(-77.8701689, 39.010693)
"8",NA,"B &D Farm",1,"OK","1148 Blankenship Pond Road
Green ","1148 Blankenship Pond Rd, Green Bay, VA 23942, USA","ROOFTOP",c(-78.2444058, 37.0875406)
"9","276 525-0660","B &R Farms",1,"OK","17849 Mill Creek Road Chilhowie  VA 24319","17849 Mill Creek Rd, Chilhowie, VA 24319, USA","ROOFTOP",c(-81.657301, 36.705181)
"10",NA,"B eaver Creek Game Farms",1,"OK","7356 Osborne Tpk Richmond VA 23231","7356 Osborne Turnpike, Richmond, VA 23231, USA","ROOFTOP",c(-77.399464, 37.463884)
"11","804 885-5843","B ees Knees Farm",1,"OK","3747 Custis Millpond Road West Point  VA 23181","3747 Custis Millpond Rd, West Point, VA 23181, USA","ROOFTOP",c(-76.894698, 37.6247339)
"12","804 261-0841","B irdhouse Farmers Market",1,"OK","1507 Grayland Ave.
Richmond  VA 23220","1507 Grayland Ave, Richmond, VA 23220, USA","ROOFTOP",c(-77.4619352, 37.5440581)
"13","571 989-2884","B lue Mojo Farm",1,"OK","39422 BUCHANNON GAP RD
Aldie  VA 20105","39422 Buchannon Gap Rd, Aldie, VA 20105, USA","ROOFTOP",c(-77.6388016, 38.9472253)
"14","703 475-6146","B otetourt Farmers Market",1,"OK","90 Town Center Street Daleville  VA 24083","90 Town Center Street, Daleville, VA 24083, USA","ROOFTOP",c(-79.9127548, 37.4166779)
"15","757 242-6800","B roken Arrows Farm",1,"OK","25590 Bows and Arrows Rd. Zuni  VA 23898","25590 Bows and Arrows Rd, Zuni, VA 23898, USA","ROOFTOP",c(-76.824234, 36.790086)
"16","804 241-6445","B   yrd Farm Enterprise, LLC",1,"OK","6165 River Road West Columbia  VA 23038","6165 River Rd W, Columbia, VA 23038, USA","ROOFTOP",c(-78.122432, 37.7419)
"17","434 990-0118","C air Paravel Enterprises, LLC",1,"OK","1336 Pocosan Mountain Road Stanardsville  VA 22973","1336 Pocosan Mountain Rd, Stanardsville, VA 22973, USA","ROOFTOP",c(-78.4536893, 38.3814875)
"18","540 896-4656","C edar Hill Farm",1,"OK","8678 Daphna Rd
Broadway  VA 22815","8678 Daphna Rd, Broadway, VA 22815, USA","ROOFTOP",c(-78.8085782, 38.5560882)
"19","540 879-2053","C edar Springs Farm",1,"OK","1771 Liskey Road
Harrisonburg  VA 22801","1771 Liskey Rd, Harrisonburg, VA 22801, USA","ROOFTOP",c(-78.9310754, 38.4082694)
"20","540 554-2858","C heckmate Farm",1,"OK","18923 Checkmate Lane
Bluemont  VA 20135","18923 Check Mate Ln, Bluemont, VA 20135, USA","ROOFTOP",c(-77.8531428, 39.094695)
"21","540 668-9828","C hicama Run, LLC",1,"OK","14809 Purcellville Road
Purcellville  VA 20132","14809 Purcellville Rd, Purcellville, VA 20132, USA","ROOFTOP",c(-77.6941219, 39.208185)
"22",NA,"C hristopher Newport University Farmers Market",1,"OK","1 Avenue of the Arts Newport News  VA 23606","1 Avenue of the Arts, Newport News, VA 23606, USA","ROOFTOP",c(-76.4899457, 37.0608093)
"23","703 361-6599","C ity of Manassas Farmers Market",1,"OK","9431 West Street
Manassas  VA 20110","Historic District, 9431 West St, Manassas, VA 20110, USA","ROOFTOP",c(-77.4727294, 38.750134)
"24","571 420-8834","C larke County Farmers Market",1,"OK","100 S. Church Street Berryville  VA 22611","100 S Church St, Berryville, VA 22611, USA","ROOFTOP",c(-77.9817935, 39.1501115)
"25","434 374-2435","C larksville Lake Country Chamber of Commerce",1,"OK","105 Second Street
Clarksville  VA 23927","105 2nd St, Clarksville, VA 23927, USA","ROOFTOP",c(-78.5542181, 36.6268473)
"26","804 721-3256","C olonial Heights Farmers Market",1,"OK","2600 Boulevard
Colonial Heights  VA 23834","2600 Boulevard, Colonial Heights, VA 23834, USA","ROOFTOP",c(-77.4133574, 37.2644724)
"27","434 390-3017","C onsider The Lilies Farm",1,"OK","3814 Baker Mountain Road Paplin  VA 23958","3814 Baker Mountain Rd, Pamplin, VA 23958, USA","ROOFTOP",c(-78.6774201, 37.2312036)
"28","804 834-3275","C ooper Farms, LLC - Louisa",1,"OK","13372 Shannon Hill Road Louisa  VA 23093","13372 Shannon Hill Rd, Louisa, VA 23093, USA","ROOFTOP",c(-77.9291757, 37.9612414)
"29","540 272-8348","C ountless Blessings Farm",1,"OK","22126 Highland Road
Culpeper  VA 22701","22126 Highland Rd, Culpeper, VA 22701, USA","ROOFTOP",c(-77.8814327, 38.3985602)
"30","757 814-4549","C   ypress Hill Farm",1,"OK","5775 Colonial Trail
Spring Grove  VA 23881","5775 Colonial Trail W, Spring Grove, VA 23881, USA","ROOFTOP",c(-76.940839, 37.151214)
"31","434 797-8961","D anville Farmers' Market",1,"OK","629 Craghead Street
Danville  VA 24541","629 Craghead St, Danville, VA 24541, USA","ROOFTOP",c(-79.3852273, 36.5849931)
"32","540 270-2583","D ark Hollow Farm and Store",1,"OK","11509 Old Markham Road Markham  VA 22643","11509 Old Markham Rd, Markham, VA 22643, USA","ROOFTOP",c(-77.9933234, 38.90505)
"33","434 263-5974","D avis Creek Farm",1,"OK","4670 Davis Creek Ln Lovingston  VA 22949","4670 Davis Creek Ln, Lovingston, VA 22949, USA","ROOFTOP",c(-78.9070635, 37.8123251)
"34","804 561-5059","D eer Run Farm of Amelia",1,"OK","9903 Bevils Bridge Rd.
Amelia  VA 23002","9903 Bevils Bridge Rd, Amelia Court House, VA 23002, USA","ROOFTOP",c(-77.8461015, 37.3184834)
"35","540 702-0673","D eer View Family Farm LLC",1,"OK","5001 Deer View Road Gretna  VA 24557","5001 Deer View Rd, Gretna, VA 24557, USA","ROOFTOP",c(-79.2700587, 36.9886569)
"36","757 771-6330","E astern Timberland Far",1,"OK","2517 Pittmantown Road
Suffolk  VA 23438","2517 Pittmantown Rd, Suffolk, VA 23438, USA","ROOFTOP",c(-76.7890313, 36.5612016)
"37","540 297-9582","E coFriendly Foods, LLC",1,"OK","   3397 Stony Fork Road Moneta  VA 24064","3397 Stony Fork Rd, Moneta, VA 24121, USA","ROOFTOP",c(-79.594671, 37.21364)
"38","804 767-8570","F arm to Family/The Farm Bu",1,"OK","2817 Mechanicsville Turnpike
Richmond  VA 23223","2817 Mechanicsville Turnpike, Richmond, VA 23223, USA","ROOFTOP",c(-77.4043319, 37.5639156)
"39",NA,"F armers' Fare",1,"OK","4730 Hammock Lane Norfolk  VA 23518","4730 Hammock Ln, Norfolk, VA 23518, USA","RANGE_INTERPOLATED",c(-76.1851994, 36.9260128)
"40","434 392-3333","F armville Community Marketplace",1,"OK","  213 North Street
Farmville  VA 23901","213 North St, Farmville, VA 23901, USA","ROOFTOP",c(-78.3931811, 37.3038094)
"41","804 304-4716","F ield Station Far",1,"OK","2223 Wiltshire Road Rockville  VA 23146","2223 Wiltshire Rd, Rockville, VA 23146, USA","ROOFTOP",c(-77.6986099, 37.704185)
"42","540 474-5999","F ireside Farm, LLC",1,"OK","5091 Potomac River Road Monterey  VA 24465","5091 Potomac River Rd, Monterey, VA 24465, USA","ROOFTOP",c(-79.5203984, 38.4668835)
"43","703 554-0831","F letcher Farm",1,"OK","57 Blaque Trax Lane Fredericksburg  VA 22406","57 Blaque Trax Ln, Falmouth, VA 22406, USA","ROOFTOP",c(-77.4713176, 38.4142339)
"44","434 591-1950","F luvanna Farmers Marke",1,"OK","1730 Thomas Jefferson Pkwy Palmyra  VA 22963","1730 Thomas Jefferson Pkwy, Palmyra, VA 22963, USA","ROOFTOP",c(-78.2950174, 37.8701539)
"45","540 537-5949","F orever Young  Far",1,"OK"," 2495 Hickman Rd
Rocky Mount  VA 24151","2495 Hickman Rd, Rocky Mount, VA 24151, USA","ROOFTOP",c(-79.976987, 37.02297)
"46","540 334-1044","F our Corners Farm",1,"OK","404 Old Mill Creek Lane Rocky Mount  VA 24151","404 Old Mill Creek Ln, Rocky Mount, VA 24151, USA","ROOFTOP",c(-79.9136242, 37.0596519)
"47","804 464-7861","F our Mile Run Farmers & Artisans Marke",1,"OK","4109 Mt Vernon Avenue
Alexandria  VA 22305","4109 Mt Vernon Ave, Alexandria, VA 22305, USA","ROOFTOP",c(-77.0637768, 38.8431909)
"48","757 539-5324","F ull Quiver Far",1,"OK","2801 Manning Road
Suffolk  VA 23434","2801 Manning Rd, Suffolk, VA 23434, USA","GEOMETRIC_CENTER",c(-76.6792602, 36.6645273)
"49","540 437-8027","G eorge's Chicken, LLC",1,"OK","5688 S. Valley Pike
Mt. Crawford  VA 22841","5688 S Valley Pike, Harrisonburg, VA 22801, USA","ROOFTOP",c(-78.9344136, 38.37666)
"50","540 808-0672","G lade Road Growing, LLC",1,"OK","2351 Glade Road
Blacksburg  VA 24060","2351 Glade Rd, Blacksburg, VA 24060, USA","ROOFTOP",c(-80.4630821, 37.2358115)
"51","276 429-5038","G lade Spring Farmers Market",1,"OK","100 Town Square Street Glade Spring  VA 24340","100 Town Square St, Glade Spring, VA 24340, USA","RANGE_INTERPOLATED",c(-81.7716844, 36.7901231)
"52","757 338-1668","G rassy Acres Farm",1,"OK","34312 Jenkins Mill Rd Franklin  VA 23851","34312 Jenkins Mill Rd, Franklin, VA 23851, USA","ROOFTOP",c(-76.8652271, 36.6723184)
"53","434 585-2024","G reat Oak Farm",1,"OK","1089 Comer Trail
Virgilina  VA 24598","1089 Comer Trail, Virgilina, VA 24598, USA","ROOFTOP",c(-78.8228384, 36.5669245)
"54",NA,"G rey Acres",1,"OK","1675 Old Church Road Mechanicsville  VA 23111","1675 Old Church Rd, Mechanicsville, VA 23111, USA","ROOFTOP",c(-77.1630082, 37.627606)
"55","757 421-9700","G um Tree Farm",1,"OK","1900 Pocaty Road
Chesapeake  VA 23322","1900 Pocaty Rd, Chesapeake, VA 23322, USA","ROOFTOP",c(-76.13614, 36.6741389)
"56","434 265-0921","H ammten Farms",1,"OK","1234 Smith Cross Rds.
South Hill  VA 23970","1234 Smith Cross Rd, South Hill, VA 23970, USA","ROOFTOP",c(-78.2021542, 36.6584078)
"57","434 390-9505","H armony Holler Homestead",1,"OK","217 Smith Trail
Meherrin  VA 23954","Meherrin, VA 23954, USA","APPROXIMATE",c(-78.3614672, 37.085782)
"58","540 532-0436","H artland Farm and Hank's Christmas Trees",1,"OK","3205 Hartland Lane
Markham  VA 22643","3205 Hartland Ln, Markham, VA 22643, USA","ROOFTOP",c(-78.0084412, 38.9148219)
