name,address,address_google,location_type,pnt,
Andy's Eggs and Poultry,"2601 Harford Road Fallston, Maryland 21047","2601 Harford Rd, Fallston, MD 21047, USA",ROOFTOP,c(-76.4022185, 39.4942958)
Red Rose Farm,"P.O.Box 73 3262 Oakland-Sang Run Rd. Oakland,Md. 21550","3262 Oakland Sang Run Rd #73, Oakland, MD 21550, USA",ROOFTOP,c(-79.3997397, 39.4717746)
Sauders Quality Eggs,"3986 Hampstead Mexico Road, Hampstead, MD, 21074","3986 Hampstead Mexico Rd, Hampstead, MD 21074, USA",ROOFTOP,c(-76.8566948, 39.6128757)
Lavender Hills Farm & CSA,"4541 Baughman Mill Road, Lineboro, MD, 21088","4541 Baughman Mill Rd, Lineboro, MD 21102, USA",ROOFTOP,c(-76.833622, 39.7131)
"KCC Natural Farms, LLC","2630 Rocks Road, Forest Hill, MD, 21050","2630 Rocks Rd, Forest Hill, MD 21050, USA",ROOFTOP,c(-76.394629, 39.594882)
Feedshack - Grimes Family Farm,"8915 Bensville Rd. Waldorf, MD, 20603","8915 Bensville Rd, Waldorf, MD 20603, USA",ROOFTOP,c(-77.001381, 38.64786)
Shady Grove Farmers Market,"9601 Broschart Road, Rockville, MD, 20850 Enter via Key West Ave, On the Johns Hopkins Rockville Campus behind the new NCI building.","9601 Broschart Rd, Rockville, MD 20850, USA",GEOMETRIC_CENTER,c(-77.1999077, 39.104372)
Dalton's Farm,"24556 McIntosh Rd, Hollywood, MD, 20636","24556 McIntosh Rd, Hollywood, MD 20636, USA",ROOFTOP,c(-76.630197, 38.342491)
Springfield Farm,"16701 Yeoho Road, Sparks, MD, 21152","16701 Yeoho Rd, Sparks Glencoe, MD 21152, USA",ROOFTOP,c(-76.736872, 39.5808261)
Faithful Friends Farm LLC,"3824 Black rock rd. Upperco, Md. 21155","3824 Black Rock Rd, Upperco, MD 21155, USA",ROOFTOP,c(-76.7823358, 39.5766341)
Brunswick Farmers Market,"100 South Maple Avenue Brunswick, MD 21716","100 S Maple Ave, Brunswick, MD 21716, USA",ROOFTOP,c(-77.6272665, 39.3115248)
Lock Farm,"10703 Coppermine Road, Woodsboro, MD, 21798","10703 Coppermine Rd, Woodsboro, MD 21798, USA",ROOFTOP,c(-77.2965393, 39.5334492)
Healthy Springs Eco-Foods,"8673 Jordan Road, Fairplay, MD, 21733","8673 Jordan Rd, Fairplay, MD 21733, USA",ROOFTOP,c(-77.762597, 39.553999)
Troutman Farm,"3180 Walnut Bottom Rd, Swanton, MD, 21561","3180 Walnut Bottom Rd, Swanton, MD 21561, USA",ROOFTOP,c(-79.144466, 39.442056)
Whitmore Farm,"10720 Dern Rd, Emmitsburg, MD, 21727","10720 Dern Rd, Emmitsburg, MD 21727, USA",ROOFTOP,c(-77.291925, 39.655105)
Kensington Farmers' Market,"3701 Howard Ave Train Station Lot, Kensington, MD, 20891","Kensington, MD 20891, USA",APPROXIMATE,c(-77.08, 39.03)
The Hen's Nest,"801 Green Valley Rd, New Windsor, MD, 21776-9715","801 Green Valley Rd, New Windsor, MD 21776, USA",ROOFTOP,c(-77.1124475, 39.5519643)
Side by Side Farm,"21650 Keeney Road, Freeland, MD, 21053","21650 Keeney Rd, Freeland, MD 21053, USA",ROOFTOP,c(-76.692956, 39.720108)
Broom's Bloom Dairy,"1700 S Fountain Green Rd MD 543, Bel Air, MD, 21015","1700 S Fountain Green Rd, Bel Air, MD 21015, USA",ROOFTOP,c(-76.2786403, 39.5126298)
