name,address,address_google,location_type,pnt,
"Granova Poultry Partners, LLC","2401 Johnson Mill Road, Forest Hill, MD, 21050","2401 Johnson Mill Rd, Forest Hill, MD 21050, USA",ROOFTOP,c(-76.351523, 39.586262)
Andy's Eggs and Poultry,"2601 Harford Road Fallston, Maryland 21047","2601 Harford Rd, Fallston, MD 21047, USA",ROOFTOP,c(-76.4022185, 39.4942958)
Healthy Springs Eco-Foods,"8673 Jordan Road, Fairplay, MD, 21733","8673 Jordan Rd, Fairplay, MD 21733, USA",ROOFTOP,c(-77.762597, 39.553999)
Whistle Punk Farm LLC,"4439 Chestnut Grove Road Keedysville, MD 21756","4439 Chestnut Grove Rd, Keedysville, MD 21756, USA",ROOFTOP,c(-77.683306, 39.436421)
Albright Farms Produce,"3505 Sweet Air Road, Phoenix, MD, 21131","3505 Sweet Air Rd, Phoenix, MD 21131, USA",ROOFTOP,c(-76.556751, 39.514877)
Faithful Friends Farm LLC,"3824 Black rock rd. Upperco, Md. 21155","3824 Black Rock Rd, Upperco, MD 21155, USA",ROOFTOP,c(-76.7823358, 39.5766341)
Green Hill Farm,"5329 Mondell Rd. Sharpsburg, MD. 21782","5329 Mondell Rd, Sharpsburg, MD 21782, USA",GEOMETRIC_CENTER,c(-77.7498574, 39.4627406)
Milk and Honey Farms,"22332 Pondsville Rd Smithsburg, MD 21783","22332 Pondsville Rd, Smithsburg, MD 21783, USA",ROOFTOP,c(-77.589252, 39.621039)
Pop's Old Place,4657 Skinners Run Road Hurlock Maryland 21643,"4657 Skinners Run Rd, Hurlock, MD 21643, USA",ROOFTOP,c(-75.857703, 38.685333)
Sycamore Spring Farm,"6003 Elmer Derr Rd, Frederick, MD, 21703","6003 Elmer Derr Rd, Frederick, MD 21703, USA",ROOFTOP,c(-77.459994, 39.375436)
BMI Farmers' Market,"Baltimore Museum of Industry 1415 Key Highway, Baltimore, MD, 21230","1415 Key Hwy, Baltimore, MD 21230, USA",ROOFTOP,c(-76.6016162, 39.2739569)
"Stokes Creek Farm, LLC","4607 Mt. Carmel Road, Baltimore, MD, 21074","4607 Mt Carmel Rd, Hampstead, MD 21074, USA",ROOFTOP,c(-76.807167, 39.609421)
"Zekiah Farms, LLC","5325 Bryantown Road, Waldorf, MD, 20601","5325 Bryantown Rd, Waldorf, MD 20601, USA",RANGE_INTERPOLATED,c(-76.8395592, 38.567688)
Bel Air Farmers' Market,"2 S. Bond Street (Mary Risteau Building Parking Lot), Bel Air, MD, 21014-3737","2 S Bond St, Bel Air, MD 21014, USA",ROOFTOP,c(-76.3506598, 39.5354935)
Spruce Run Farm,"12924 Spruce Run Rd, Myersville, MD, 21773-9702","12924 Spruce Run Rd, Myersville, MD 21773, USA",ROOFTOP,c(-77.5232013, 39.5908964)
Enoch Farms,"27086 Anthony Mill Rd. Denton, MD 21629","27086 Anthony Mill Rd, Denton, MD 21629, USA",ROOFTOP,c(-75.762598, 38.877167)
Springfield Farm,"16701 Yeoho Road, Sparks, MD, 21152","16701 Yeoho Rd, Sparks Glencoe, MD 21152, USA",ROOFTOP,c(-76.736872, 39.5808261)
Wilson's Farm Market,"2115 Waverly Drive, Bel Air, MD, 21015-1013","2115 Waverly Dr, Bel Air, MD 21015, USA",ROOFTOP,c(-76.3227324, 39.5913256)
Flying Plow Farm,"96 Charles Johnson Farm Ln, Rising Sun, MD 21911","96 C Johnson Farm Ln, Rising Sun, MD 21911, USA",ROOFTOP,c(-76.090334, 39.692697)
Reisterstown Farmers Market,"120 Main Street, Reisterstown, MD 21136","120 Main St, Reisterstown, MD 21136, USA",ROOFTOP,c(-76.8299472, 39.4657708)
Richardson Farms,"5900 Ebenezer Road, White Marsh, MD, 21162","5900 Ebenezer Rd, White Marsh, MD 21162, USA",GEOMETRIC_CENTER,c(-76.417621, 39.3765566)
Full Cellar Farm,"3901 Lander Road, Jefferson, MD, 21755","3901 Lander Rd, Jefferson, MD 21755, USA",RANGE_INTERPOLATED,c(-77.5411633, 39.3395858)
Grand View Farm,"1939 High Point Road, Forest Hill, MD, 21050","1939 High Point Rd, Forest Hill, MD 21050, USA",ROOFTOP,c(-76.42122, 39.565428)
Central Farm Markets - Bethesda Central,"7600 Arlington Road, Bethesda, MD, 20814","7600 Arlington Rd, Bethesda, MD 20814, USA",ROOFTOP,c(-77.0998827, 38.9866807)
Bietschehof Farm,"175 Hetrick Rd, Grantsville, MD, 21536","175 Hetrick Rd, Grantsville, MD 21536, USA",ROOFTOP,c(-79.221836, 39.71108)
Belle Creek Farm,"9703 Bethel Road, Frederick, MD, 21702","9703 Bethel Rd, Frederick, MD 21702, USA",ROOFTOP,c(-77.4455881, 39.497671)
Chesapeake's Bounty,"6415 Saint Leonard Road, Saint Leonard, MD, 20685","6415 St Leonard Rd, St Leonard, MD 20685, USA",ROOFTOP,c(-76.4885651, 38.4486004)
Kate's Koop,"4650 Hallowing Point Road, Prince Frederick, MD, 20678","4650 Hallowing Point Rd, Prince Frederick, MD 20678, USA",ROOFTOP,c(-76.626709, 38.50883)
Shady Grove Farmers Market,"9601 Broschart Road, Rockville, MD, 20850 Enter via Key West Ave, On the Johns Hopkins Rockville Campus behind the new NCI building.","9601 Broschart Rd, Rockville, MD 20850, USA",GEOMETRIC_CENTER,c(-77.1999077, 39.104372)
Rocklands Farm Winery,"14525 Montevideo Rd, Poolesville, MD, 20837","14525 Montevideo Rd, Poolesville, MD 20837, USA",ROOFTOP,c(-77.3466986, 39.0939393)
P.A. Bowen Farmstead,"15701 Dr Bowen Road, Brandywine, MD, 20613","15701 Dr Bowen Rd, Brandywine, MD 20613, USA",ROOFTOP,c(-76.7356937, 38.5880928)
Monnett Farms,"4825 Dennis Monnett Road, Prince Frederick, MD, 20678","4825 Dennis Monnett Rd, Prince Frederick, MD 20678, USA",ROOFTOP,c(-76.613765, 38.4755268)
Slice of Heaven Farm,"12929 Saint Paul Rd., Clear Spring, MD, 21722","12929 St Paul Rd, Clear Spring, MD 21722, USA",ROOFTOP,c(-77.884061, 39.671913)
